feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_ion_detection_level,fragments_spectrum_detection_level,fragment_mz_delta,fragment_fatty_acid_pos,fragment_types,datafile:neg_FRN5.mzML:area,datafile:neg_FRN4.mzML:area,datafile:neg_FRN3.mzML:area,datafile:neg_FRN2.mzML:area,datafile:neg_FRN1.mzML:area,datafile:neg_HFO1.mzML:area,datafile:neg_HFO3.mzML:area,datafile:neg_HFO2.mzML:area,datafile:neg_HFO5.mzML:area,datafile:neg_HFO4.mzML:area
1244,1.659,392.22877,392.05101,453.4103865718339,C25H42NO7P,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 20:5,"LPE 20:5(5,8,11,14,17)",0.5720000000000001,0.8220300000000407,0.0,0.13940300000000408,Some,None,-106.21159999999999,9,aldehyde,0.0,0.0,0.0,0.0,0.0,75.37537537537537,1890000000.0,0.0,0.0,42.53521126760563
1341,1.875,448.17431,448.11541,131.43935398248007,C25H42NO7P,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 20:5,"LPE 20:5(5,8,11,14,17)",0.996,0.9408900000000244,0.0,0.19368900000000244,Some,None,-50.147200000000005,12,criegee,0.0,0.0,0.0,0.0,0.0,12.552552552552553,0.0,0.0,0.0,0.0
1334,1.873,509.28835,509.28849,0.27489331252005694,C24H47O9P,CCCCCCC=CCCCCCCCCCC(=O)OCC(O)COP(=O)(O)OCC(O)CO,[M-H]-,LPG 18:1,LPG 18:1(11),0.403,0.6121849999999824,0.0786388614551258,0.1644295891640989,All,Some,0.0,0,substrate,0.0,0.0,,0.0,0.0,9590.0,0.0,0.0,0.0,11600.0
1243,1.658,427.82918,427.09889000000004,1709.885033885169,C24H47O9P,CCCCCCC=CCCCCCCCCCC(=O)OCC(O)COP(=O)(O)OCC(O)CO,[M-H]-,LPG 18:1,LPG 18:1(11),0.5699999999999998,0.26956999999998743,0.0,0.08395699999999873,All,Some,-82.1896,7,aldehyde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458000000.0,900000000.0,0.0
1481,2.255,443.14335,443.09829,101.69301262701356,C24H47O9P,CCCCCCC=CCCCCCCCCCC(=O)OCC(O)COP(=O)(O)OCC(O)CO,[M-H]-,LPG 18:1,LPG 18:1(11),0.2360000000000002,0.9547999999999774,0.1572777229102516,0.24490217832819905,All,Some,-66.1902,7,criegee,2730000000.0,5000000000.0,0.0,5510000000.0,3710000000.0,961.4181438998957,5100000000.0,6230000000.0,6610000000.0,540.5172413793103
1364,1.905,474.26282,474.26261,0.4427926544354651,C23H42NO7P,CCC=CCC=CCC=CCCCCCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 18:3,"LPE 18:3(9,12,15)",0.742,0.9261249999999848,0.040721980066992444,0.19939008405359243,Some,Some,0.0,0,substrate,0.0,0.0,0.0,0.0,0.0,8500.0,4545.425138632163,0.0,0.0,0.0
1364,1.905,474.26282,474.26261,0.4427926544354651,C23H42NO7P,CCCCCC=CCC=CCC=CCCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 18:3,"LPE 18:3(6,9,12)",0.6473333333333332,0.40119333333332935,0.0,0.10485266666666626,Some,Some,0.0,0,substrate,0.0,0.0,0.0,0.0,0.0,0.0,1344.5748613678372,0.0,0.0,0.0
1314,1.865,326.18729,325.97001,666.5643873189947,C23H42NO7P,CCCCCC=CCC=CCC=CCCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 18:3,"LPE 18:3(6,9,12)",0.9199999999999999,0.7829300000000217,0.0,0.17029300000000216,Some,Some,-148.29259999999996,6,aldehyde,5930000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5430000000.0,0.0
1352,1.886,341.19529,341.96941000000004,2263.7112483249275,C23H42NO7P,CCCCCC=CCC=CCC=CCCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 18:3,"LPE 18:3(6,9,12)",0.9619999999999997,0.2256699999999796,0.0,0.11876699999999794,Some,Some,-132.29319999999996,6,criegee,929000000.0,447000000.0,845000000.0,1120000000.0,1080000000.0,148.23529411764707,193.5483870967742,1030000000.0,718000000.0,915000000.0
1110,1.435,366.84024,366.03501,2199.8715368783837,C23H42NO7P,CCCCCC=CCC=CCC=CCCCCC(=O)OCC(O)COP(=O)(O)OCCN,[M-H]-,LPE 18:3,"LPE 18:3(6,9,12)",0.06000000000000005,0.19497999999998683,0.0,0.02549799999999869,Some,Some,-108.2276,9,aldehyde,5880000000.0,5510000000.0,6990000000.0,6400000000.0,5730000000.0,752.9411764705882,1224.1086587436334,6320000000.0,3850000000.0,6410000000.0
