feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_ion_detection_level,fragments_spectrum_detection_level,datafile:neg_FRN1.mzML:area,datafile:neg_FRN2.mzML:area,datafile:neg_FRN3.mzML:area,datafile:neg_FRN4.mzML:area,datafile:neg_FRN5.mzML:area,datafile:neg_HFO1.mzML:area,datafile:neg_HFO2.mzML:area,datafile:neg_HFO3.mzML:area,datafile:neg_HFO4.mzML:area,datafile:neg_HFO5.mzML:area
P26157,18.619,818.72256,818.72322,0.806133237,C51H92O6,CCCCCCCCCC=CCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCC)COC(=O)CCCCC=CCCCCCCCCC,[M+NH4]+,TG 16:1_16:1_16:1,TG 16:1(6)_16:1(6)_16:1(9),0.896,0.892425,0.485511537,0.56725173,Some,Some,668272.2646,713070.8661,510465.3174,665422.1362,266460.7119,1175083.385,1269487.952,1567410.386,1230666.868,1228502.181
P26157,18.619,818.72256,818.72322,0.806133237,C51H92O6,CCCCCCCCCC=CCCCCC(=O)OC(COC(=O)CCCCCC=CCCCCCCCC)COC(=O)CCCCC=CCCCCCCCCC,[M+NH4]+,TG 16:1_16:1_16:1,TG 16:1(6)_16:1(6)_16:1(7),0.911,0.88095,0.408517173,0.506008738,Some,Some,388251.9084,365074.3657,245338.1768,313099.3506,79059.77166,331772.6992,450030.1205,513930.7571,418932.4059,404847.3097
P26157,18.619,818.72256,818.72322,0.806133237,C51H92O6,CCCCCCCCCC=CCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCC)COC(=O)CCCCC=CCCCCCCCCC,[M+NH4]+,TG 16:1_16:1_16:1,TG 16:1(6)_16:1(6)_16:1(6),0.668,0.87552,0.414628135,0.486054508,All,All,753475.827,841854.7682,544196.5058,681478.5132,199479.5165,633143.916,510481.9277,908658.8564,750400.7258,766650.509
P26296,18.696,899.70965,899.70991,0.288982034,C57H96O6,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCC=CCC=CCC=CCC=CCC=CCC)COC(=O)CCCCCCCCCCCCCCC,[M+Na]+,TG 16:0_18:2_20:5,"TG 16:0_18:2(9,12)_20:5(5,8,11,14,17)",0.874857143,0.879382857,0.019197585,0.190782068,Some,Some,107318.8136,106681.03,87900,96575.93366,59700,406754.0148,321146.1538,397800.3572,319503.989,349559.8592
P26296,18.696,899.70965,899.70991,0.288982034,C57H96O6,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCC=CCC=CCC=CCC=CCC=CCC)COC(=O)CCCCCCCCCCCCCCC,[M+Na]+,TG 16:0_18:2_20:5,"TG 16:0_18:2(6,9)_20:5(5,8,11,14,17)",0.8425,0.84604125,0.022886734,0.187163512,Some,Some,23681.18642,12318.97005,0,924.0663432,0,57245.98522,181853.8462,86199.64278,149496.011,68440.14085
P26328,18.702,894.75371,894.75452,0.905276232,C57H96O6,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCC=CCC=CCC=CCCCCC)COC(=O)CCCCCCCC=CCC=CCCCCC,[M+NH4]+,TG 18:2_18:2_18:3,"TG 18:2(9,12)_18:2(9,12)_18:3(6,9,12)",0.6735,0.903835,0.603954246,0.640896897,Some,Some,563885.4241,545131.4636,410284.5304,454127.8463,217464.5229,3046069.396,3659497.669,3669825.499,3155075.744,2979297.165
P26328,18.702,894.75371,894.75452,0.905276232,C57H96O6,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCC=CCC=CCC=CCCCCC)COC(=O)CCCCC=CCC=CCCCCCCCC,[M+NH4]+,TG 18:2_18:2_18:3,"TG 18:2(6,9)_18:2(6,9)_18:3(6,9,12)",0.666333333,0.898205,0.562089569,0.606125488,Some,Some,642031.3614,633488.1683,509430.9392,581744.3075,265562.8531,3787120.433,4510678.297,4338498.501,3931177.085,3532699.862
P26328,18.702,894.75371,894.75452,0.905276232,C57H96O6,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCC=CCC=CCC=CCCCCC)COC(=O)CCCCC=CCC=CCCCCCCCC,[M+NH4]+,TG 18:2_18:2_18:3,"TG 18:2(6,9)_18:2(9,12)_18:3(6,9,12)",0.532666667,0.876065,0.555132236,0.584978956,Some,Some,484083.2145,471380.3681,410284.5304,454127.8463,188972.624,2456810.171,2829824.034,2891676,2613747.17,2488002.973
P26367,18.707,925.72445,925.72556,1.199059471,C59H98O6,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC)COC(=O)CCCCCCCCCCCCCCC,[M+Na]+,TG 16:0_18:2_22:6,"TG 16:0_18:2(6,9)_22:6(4,7,10,13,16,19)",0.786222222,0.816012222,0.032729962,0.186407414,Some,Some,40383.69008,47993.70409,0,2547.07113,5193.741765,165460.9145,204082.416,195870.7124,159741.6544,179930.9281
P26367,18.707,925.72445,925.72556,1.199059471,C59H98O6,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCC=CCC=CCC=CCC=CCC=CCC=CCC)COC(=O)CCCCCCCCCCCCCCC,[M+Na]+,TG 16:0_18:2_22:6,"TG 16:0_18:2(9,12)_22:6(4,7,10,13,16,19)",0.87225,0.753695,0.021965305,0.180166744,Some,Some,15316.30992,22406.29591,46300,46152.92887,24206.25823,66539.08549,30917.58396,49129.2876,5258.345606,41069.07194
