feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_ion_detection_level,fragments_spectrum_detection_level,datafile:neg_FRN1.mzML:area,datafile:neg_FRN2.mzML:area,datafile:neg_FRN3.mzML:area,datafile:neg_FRN4.mzML:area,datafile:neg_FRN5.mzML:area,datafile:neg_HFO1.mzML:area,datafile:neg_HFO2.mzML:area,datafile:neg_HFO3.mzML:area,datafile:neg_HFO4.mzML:area,datafile:neg_HFO5.mzML:area
N6091,6.516,745.50231,745.50251,0.268275421,C40H75O10P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 16:0_18:2,"PG 16:0_18:2(6,9)",0.921,0.2977725,0,0.12187725,All,None,763519.774,1075756.156,871173.9527,937612.4438,843437.2367,1476116.331,1771220.787,1618559.751,1821476.676,1795699.005
N6131,6.526,797.53349,797.53381,0.401236908,C44H79O10P,CCC=CCC=CCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_20:3,"PG 18:1(9)_20:3(11,14,17)",0.743333333,0.794543333,0.244227005,0.349169271,Some,Some,9686.387134,15290.02803,9886.652079,12564.02086,0,0,0,3128.985307,4932.073616,4265.071879
N6131,6.526,797.53349,797.53381,0.401236908,C44H79O10P,CCC=CCC=CCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_20:3,"PG 18:1(6)_20:3(11,14,17)",0.730333333,0.906765,0.151082549,0.284575872,Some,Some,2109.132682,6260.238676,3705.908096,3647.276941,0,0,0,3128.985307,4506.167463,3467.573767
N6131,6.526,797.53349,797.53381,0.401236908,C44H79O10P,CCC=CCC=CCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCC=CCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_20:3,"PG 18:1(11)_20:3(11,14,17)",0.560571429,0.938932857,0.129499328,0.253549891,All,Some,1804.480184,4949.733297,3807.439825,2088.702202,12700,0,0,3422.029386,4861.758921,3667.354353
N6139,6.534,824.55237,824.55996,9.204909732,C49H80NO7P,CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)OC(COCCCC=CCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCCN,[M-H]-,PE O-22:6_22:4,"PE O-22:6(4,7,10,13,16,19)_22:4(7,10,13,16)",0.7005,0.64028375,0.160396272,0.262395392,Some,Some,0,73000,55700,51100,59800,62500,0,53300,68700,61000
N6148,6.541,823.54947,823.54946,0.012142562,C46H81O10P,CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_22:4,"PG 18:1(6)_22:4(7,10,13,16)",0.8372,0.889802,0,0.1727002,Some,Some,38943.91873,47697.34151,47089.46171,41448.03518,0,42143.62705,40948.47973,0,40119.09615,45718.8583
N6148,6.541,823.54947,823.54946,0.012142562,C46H81O10P,CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_22:4,"PG 18:1(9)_22:4(7,10,13,16)",0.711333333,0.793386667,0.020112976,0.166562381,Some,Some,25112.16254,37605.31697,23695.9818,31103.92964,116000,37022.90488,40568.41216,107000,55930.52725,40562.28341
N6148,6.541,823.54947,823.54946,0.012142562,C46H81O10P,CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)OC(COC(=O)CCCCCCCCCC=CCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_22:4,"PG 18:1(11)_22:4(7,10,13,16)",0.73525,0.8321775,0,0.15674275,All,Some,38943.91873,47697.34151,43214.55648,41448.03518,0,44833.46807,44483.10811,0,39950.37661,45718.8583
N6228,6.607,887.55785,887.5655,8.619082197,C47H85O13P,CCCCCCCCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 18:0_20:3,"PI 18:0_20:3(5,8,11)",0.6648,0.59141,0.44877664,0.484642312,All,Some,1424.600605,1797.624608,1175.66534,0,1745.405592,0,0,0,0,0
N6228,6.607,887.55785,887.5655,8.619082197,C47H85O13P,CCC=CCC=CCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 18:0_20:3,"PI 18:0_20:3(11,14,17)",0.3972,0.923152,0.376972656,0.433613325,All,Some,28946.34083,40982.14465,27735.21138,0,25639.29656,0,0,0,0,0
N6228,6.607,887.55785,887.5655,8.619082197,C47H85O13P,CCCCCC=CCC=CCC=CCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 18:0_20:3,"PI 18:0_20:3(8,11,14)",0.615,0.760475,0.294417313,0.37308135,All,Some,629.0585679,120.2307368,389.1232762,0,1515.297845,0,0,0,0,0
N6229,6.608,885.55002,885.54985,0.191971124,C47H83O13P,CCCCCC=CCC=CCC=CCCCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 18:1_20:3,"PI 18:1(6)_20:3(8,11,14)",0.7128,0.721026,0.283644399,0.370298119,Some,Some,133956.2592,134051.1591,75428.10001,68838.61237,107042.2103,42817.9323,39907.90861,42839.51062,41682.1573,40538.61661
N6229,6.608,885.55002,885.54985,0.191971124,C47H83O13P,CCCCCC=CCC=CCC=CCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 18:1_20:3,"PI 18:1(9)_20:3(8,11,14)",0.495,0.6791175,0.285246629,0.345609053,Some,Some,111792.0679,151151.0791,175143.8,142322.7753,152209.1328,39377.8591,44446.28002,53115.98896,43025.05837,54422.95578
N6229,6.608,885.55002,885.54985,0.191971124,C47H83O13P,CCCCCC=CCC=CCC=CCCCCCCC(=O)OC(COC(=O)CCCCCCCCCC=CCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 18:1_20:3,"PI 18:1(11)_20:3(8,11,14)",0.7584,0.609774,0.243800678,0.331857942,All,Some,104251.6729,96797.76179,75428.10001,68838.61237,94748.65695,45804.2086,42645.81136,53044.50042,46292.78433,50038.42762
N6231,6.609,771.51794,771.51816,0.28515207,C42H77O10P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCC=CCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_18:2,"PG 18:1(11)_18:2(9,12)",0.898,0.9160775,0,0.18140775,Some,None,63393.36918,117900.6758,68176.47059,55647.91529,46285.71429,98799.68635,76194.87751,46476.11465,72877.13393,66665.14954
N6231,6.609,771.51794,771.51816,0.28515207,C42H77O10P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_18:2,"PG 18:1(9)_18:2(9,12)",0.878,0.904776667,0,0.178277667,Some,None,0,8158.86778,0,0,0,8750.829362,0,0,0,0
N6231,6.609,771.51794,771.51816,0.28515207,C42H77O10P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_18:2,"PG 18:1(9)_18:2(6,9)",0.982,0.79625,0,0.177825,Some,None,205606.6308,268940.4565,236823.5294,217352.0847,277714.2857,412449.4843,400805.1225,376523.8854,365122.8661,362334.8505
N6236,6.611,772.52132,772.52866,9.501265623,C45H76NO7P,CCCCCCCCC=CCC=CCC=CCCCC(=O)OC(COCCCCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCCN,[M-H]-,PE O-20:5_20:3,"PE O-20:5(5,8,11,14,17)_20:3(5,8,11)",0.659714286,0.566972857,0.085282807,0.19089496,Some,Some,37793.9856,45753.76264,35117.62029,34037.45371,49487.06161,65568.76526,63957.0441,59516.38119,48683.21214,64869.30202
N6236,6.611,772.52132,772.52866,9.501265623,C45H76NO7P,CCCCCC=CCC=CCC=CCCCCCCC(=O)OC(COCCCCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCCN,[M-H]-,PE O-20:5_20:3,"PE O-20:5(5,8,11,14,17)_20:3(8,11,14)",0.6025,0.69083375,0.074622456,0.18903134,Some,Some,44761.03346,56008.51221,38327.38028,34037.45371,57401.02456,107862.4695,101919.3234,67614.53235,64509.32659,73799.01931
N6236,6.611,772.52132,772.52866,9.501265623,C45H76NO7P,CCC=CCC=CCC=CCCCCCCCCCC(=O)OC(COCCCCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCCN,[M-H]-,PE O-20:5_20:3,"PE O-20:5(5,8,11,14,17)_20:3(11,14,17)",0.7075,0.38896125,0.074622456,0.16934409,All,Some,35444.98094,88237.72514,65554.99943,61925.09259,44111.91383,65568.76526,58123.63246,57869.08646,92807.46127,59331.67867
N6259,6.637,797.5339,797.53381,0.11284788,C44H79O10P,CCC=CCC=CCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_20:3,"PG 18:1(9)_20:3(11,14,17)",0.726,0.79468,0.24305412,0.346511296,Some,Some,0,0,0,0,0,0,0,0,0,16014.4448
N6259,6.637,797.5339,797.53381,0.11284788,C44H79O10P,CCCCCC=CCC=CCC=CCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_20:3,"PG 18:1(9)_20:3(8,11,14)",0.743,0.786078333,0.19223444,0.306695385,Some,Some,0,0,0,0,0,0,0,0,0,15818.28379
N6259,6.637,797.5339,797.53381,0.11284788,C44H79O10P,CCC=CCC=CCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_20:3,"PG 18:1(6)_20:3(11,14,17)",0.738571429,0.911754286,0.126531976,0.266258152,Some,Some,0,0,0,0,0,0,0,0,0,2767.271402
N6305,6.682,823.54973,823.54946,0.327849162,C46H81O10P,CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_22:4,"PG 18:1(6)_22:4(7,10,13,16)",0.74675,0.73095375,0.031835454,0.173238738,Some,Some,4293.443529,0,3505.402884,2691.642129,2825.085017,0,0,4367.28509,0,0
N6305,6.682,823.54973,823.54946,0.327849162,C46H81O10P,CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_22:4,"PG 18:1(9)_22:4(7,10,13,16)",0.6385,0.83592625,0.030352936,0.171724974,Some,Some,3444.988762,0,2889.71162,2356.421291,2825.085017,0,0,4035.762107,0,0
N6305,6.682,823.54973,823.54946,0.327849162,C46H81O10P,CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)OC(COC(=O)CCCCCCCCCC=CCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_22:4,"PG 18:1(11)_22:4(7,10,13,16)",0.7054,0.789203,0.011782219,0.158886075,All,Some,1601.567709,0,744.8854962,471.9365798,209.829966,0,0,666.9528029,0,0
N6316,6.691,797.53415,797.53381,0.426314215,C44H79O10P,CCCCCC=CCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCC=CCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:2_20:2,"PG 18:2(9,12)_20:2(11,14)",0.648666667,0.925186667,0.19571011,0.313953421,All,Some,1533.216579,4341.16641,2781.119593,988.9436403,1991.854966,9388.235294,8592.199878,8075.357995,5657.945271,0
N6316,6.691,797.53415,797.53381,0.426314215,C44H79O10P,CCCCCC=CCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCC=CCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:2_20:2,"PG 18:2(6,9)_20:2(11,14)",0.6965,0.911695,0.146782583,0.278245566,Some,Some,1029.772329,1601.299812,1481.832061,0,1251.024698,0,4709.628275,5119.391408,3185.213634,0
