work_dir,rt_weight,precursor_mz_weight,spec_weight,spec_sim_type,feature_id,top1_score,top2_avg_score,top3_avg_score,top1_gap,top1_margin,top2_margin,top3_margin,H_norm
example/hyperparams_opt/Hela/spec_similarity_type_NeutralLossesCosine,0.0,0.0,1.0,NeutralLossesCosine,N35351,0.0,0.5569416791075855,0.5309053082350944,0.041339271612745865,0.16305641079942962,0.16381266245158443,0.16067915848886644,0.9906998150868422
example/hyperparams_opt/Hela/spec_similarity_type_NeutralLossesCosine,0.0,0.0,1.0,NeutralLossesCosine,N3540,0.0,0.5569416791075855,0.5309053082350944,0.041339271612745865,0.16305641079942962,0.16381266245158443,0.16067915848886644,0.9906998150868422
example/hyperparams_opt/Hela/spec_similarity_type_NeutralLossesCosine,0.0,0.0,1.0,NeutralLossesCosine,N3555,0.45326530308861934,0.3777210859071828,0.33815030547881125,0.15108843436287311,0.3681266463387315,0.3505391251146884,0.31396296748548996,0.7450894680821146
example/hyperparams_opt/Hela/spec_similarity_type_NeutralLossesCosine,0.0,0.0,1.0,NeutralLossesCosine,N3557,0.0035674206185927425,0.0035674206185927425,0.0033844759714854226,0.0,0.0005488339413219604,,0.31396296748548996,0.9972883922350803
example/hyperparams_opt/Hela/spec_similarity_type_NeutralLossesCosine,0.0,0.0,1.0,NeutralLossesCosine,N35807,0.0,0.0035674206185927425,0.0033844759714854226,0.0,0.0005488339413219604,,0.31396296748548996,0.9972883922350803
example/hyperparams_opt/Hela/spec_similarity_type_NeutralLossesCosine,0.0,0.0,1.0,NeutralLossesCosine,N35848,0.0,0.0035674206185927425,0.0033844759714854226,0.0,0.0005488339413219604,,0.31396296748548996,0.9972883922350803
example/hyperparams_opt/Hela/spec_similarity_type_NeutralLossesCosine,0.0,0.0,1.0,NeutralLossesCosine,N35850,0.0,0.0035674206185927425,0.0033844759714854226,0.0,0.0005488339413219604,,0.31396296748548996,0.9972883922350803
example/hyperparams_opt/Hela/spec_similarity_type_NeutralLossesCosine,0.0,0.0,1.0,NeutralLossesCosine,N35855,0.0,0.0035674206185927425,0.0033844759714854226,0.0,0.0005488339413219604,,0.31396296748548996,0.9972883922350803
example/hyperparams_opt/Hela/spec_similarity_type_NeutralLossesCosine,0.0,0.0,1.0,NeutralLossesCosine,N3586,0.5813520768132732,0.0035674206185927425,0.0033844759714854226,0.0,0.0005488339413219604,,0.31396296748548996,0.9972883922350803
example/hyperparams_opt/Hela/spec_similarity_type_NeutralLossesCosine,0.0,0.0,1.0,NeutralLossesCosine,N3587,0.0,0.0035674206185927425,0.0033844759714854226,0.0,0.0005488339413219604,,0.31396296748548996,0.9972883922350803
