id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,alignment_scores:rate,alignment_scores:aligned_features_n,alignment_scores:align_extra_features,alignment_scores:weighted_distance_score,alignment_scores:mz_diff_ppm,alignment_scores:mz_diff,alignment_scores:rt_absolute_error,spectral_db_matches:spectral_db_matches,spectral_db_matches:compound_name,spectral_db_matches:ion_adduct,spectral_db_matches:mol_formula,spectral_db_matches:smiles,spectral_db_matches:precursor_mz,spectral_db_matches:cosine_score,spectral_db_matches:n_matching_signals,spectral_db_matches:ccs,datafile:POS_NIST_2.mzML:area,datafile:POS_NIST_2.mzML:rt,datafile:POS_NIST_2.mzML:mz_range:min,datafile:POS_NIST_2.mzML:mz_range:max,datafile:POS_NIST_2.mzML:fragment_scans,datafile:POS_NIST_2.mzML:fwhm,datafile:POS_NIST_2.mzML:rt_range:min,datafile:POS_NIST_2.mzML:rt_range:max,datafile:POS_NIST_2.mzML:feature_state,datafile:POS_NIST_2.mzML:mz,datafile:POS_NIST_2.mzML:intensity_range:min,datafile:POS_NIST_2.mzML:intensity_range:max,datafile:POS_NIST_2.mzML:asymmetry_factor,datafile:POS_NIST_2.mzML:tailing_factor,datafile:POS_NIST_2.mzML:height,datafile:POS_NIST_2.mzML:rt_ms2_apex_distance,datafile:POS_NIST_3.mzML:area,datafile:POS_NIST_3.mzML:rt,datafile:POS_NIST_3.mzML:mz_range:min,datafile:POS_NIST_3.mzML:mz_range:max,datafile:POS_NIST_3.mzML:fragment_scans,datafile:POS_NIST_3.mzML:fwhm,datafile:POS_NIST_3.mzML:rt_range:min,datafile:POS_NIST_3.mzML:rt_range:max,datafile:POS_NIST_3.mzML:feature_state,datafile:POS_NIST_3.mzML:mz,datafile:POS_NIST_3.mzML:intensity_range:min,datafile:POS_NIST_3.mzML:intensity_range:max,datafile:POS_NIST_3.mzML:asymmetry_factor,datafile:POS_NIST_3.mzML:tailing_factor,datafile:POS_NIST_3.mzML:height,datafile:POS_NIST_3.mzML:rt_ms2_apex_distance,datafile:POS_NIST_1.mzML:area,datafile:POS_NIST_1.mzML:rt,datafile:POS_NIST_1.mzML:mz_range:min,datafile:POS_NIST_1.mzML:mz_range:max,datafile:POS_NIST_1.mzML:fragment_scans,datafile:POS_NIST_1.mzML:fwhm,datafile:POS_NIST_1.mzML:rt_range:min,datafile:POS_NIST_1.mzML:rt_range:max,datafile:POS_NIST_1.mzML:feature_state,datafile:POS_NIST_1.mzML:mz,datafile:POS_NIST_1.mzML:intensity_range:min,datafile:POS_NIST_1.mzML:intensity_range:max,datafile:POS_NIST_1.mzML:asymmetry_factor,datafile:POS_NIST_1.mzML:tailing_factor,datafile:POS_NIST_1.mzML:height,datafile:POS_NIST_1.mzML:rt_ms2_apex_distance,datafile:POS_NIST_0.mzML:area,datafile:POS_NIST_0.mzML:rt,datafile:POS_NIST_0.mzML:mz_range:min,datafile:POS_NIST_0.mzML:mz_range:max,datafile:POS_NIST_0.mzML:fragment_scans,datafile:POS_NIST_0.mzML:fwhm,datafile:POS_NIST_0.mzML:rt_range:min,datafile:POS_NIST_0.mzML:rt_range:max,datafile:POS_NIST_0.mzML:feature_state,datafile:POS_NIST_0.mzML:mz,datafile:POS_NIST_0.mzML:intensity_range:min,datafile:POS_NIST_0.mzML:intensity_range:max,datafile:POS_NIST_0.mzML:asymmetry_factor,datafile:POS_NIST_0.mzML:tailing_factor,datafile:POS_NIST_0.mzML:height,datafile:POS_NIST_0.mzML:rt_ms2_apex_distance
13926,15.46,15.239,15.555,798.54137,798.53778,798.54449,1.62E+06,3.10E+05,2.79E+05,1.62E+06,3,0.25,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,3.10E+05,15.46,798.53778,798.54449,3,0.174,15.239,15.555,DETECTED,798.54137,2.79E+05,1.62E+06,0.448,0.714,1.62E+06,-0.138,,,,,,,,,UNKNOWN,,,,,,,
13927,15.461,15.379,15.555,693.45408,693.45258,693.45642,1.31E+06,1.71E+05,6.37E+05,1.31E+06,0,0.5,2,0,0.92,0.53,0.00036,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.71E+05,15.46,693.45258,693.45642,,0.102,15.379,15.555,DETECTED,693.45372,6.37E+05,1.31E+06,1.162,1.081,1.31E+06,,9.31E+04,15.461,693.45264,693.45709,,0.04,15.419,15.514,DETECTED,693.45445,6.57E+05,1.27E+06,1.279,1.14,1.27E+06,
13928,15.461,15.256,15.61,666.43372,666.43341,666.43402,2.28E+07,4.79E+06,4.10E+06,2.28E+07,0,0.25,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,4.79E+06,15.461,666.43341,666.43402,,0.224,15.256,15.61,DETECTED,666.43372,4.10E+06,2.28E+07,0.727,0.864,2.28E+07,
13929,15.461,15.433,15.501,708.48484,708.4837,708.4856,8.85E+05,3.46E+04,3.40E+05,8.85E+05,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,3.46E+04,15.461,708.4837,708.4856,,0.03,15.433,15.501,DETECTED,708.48484,3.40E+05,8.85E+05,1.441,1.22,8.85E+05,
13930,15.461,15.406,15.472,793.58098,793.57587,793.58398,6.70E+05,3.04E+04,2.69E+05,6.70E+05,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,3.04E+04,15.461,793.57587,793.58398,,0.026,15.406,15.472,DETECTED,793.58098,2.69E+05,6.70E+05,0.215,0.608,6.70E+05,
13931,15.46,15.379,15.474,1597.19262,1597.18445,1597.1969,6.47E+05,4.00E+04,2.78E+05,6.47E+05,0,0.25,1,4,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,4.00E+04,15.46,1597.18445,1597.1969,,0.098,15.379,15.474,DETECTED,1597.19262,2.78E+05,6.47E+05,0.164,0.582,6.47E+05,,,,,,,,,,UNKNOWN,,,,,,,
13932,15.461,15.379,15.513,678.39591,678.39496,678.39777,1.83E+06,1.14E+05,2.69E+05,1.83E+06,0,0.5,2,1,0.86,0.46,0.00031,0.027,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,5.01E+04,15.434,678.39478,678.40314,,0.051,15.391,15.448,DETECTED,678.39623,2.73E+05,1.14E+06,0.335,0.668,1.14E+06,,1.14E+05,15.488,678.39496,678.39777,,0.058,15.379,15.513,DETECTED,678.3956,2.69E+05,1.83E+06,0.319,0.617,1.83E+06,,,,,,,,,,UNKNOWN,,,,,,,
13933,15.462,15.399,15.556,700.49026,700.4859,700.49121,9.48E+05,6.72E+04,3.22E+05,9.48E+05,2,0.75,3,0,0.83,0.55,0.00038,0.035,,,,,,,,,,6.72E+04,15.425,700.4859,700.49121,1,0.056,15.399,15.495,DETECTED,700.48968,3.99E+05,9.48E+05,2.641,1.82,9.48E+05,-0.081,3.99E+04,15.514,700.4895,700.49097,,0.132,15.475,15.556,DETECTED,700.4903,3.22E+05,7.82E+05,1.088,1.044,7.82E+05,,,,,,,,,,UNKNOWN,,,,,,,,6.16E+04,15.446,700.48987,700.49139,1,0.063,15.433,15.527,DETECTED,700.49079,3.64E+05,9.43E+05,5.934,3.467,9.43E+05,-0.182
13934,15.462,15.269,15.698,783.63518,783.63171,783.63684,4.47E+06,9.99E+05,2.86E+05,4.47E+06,13,1,4,0,0.89,0.18,0.00014,0.033,SM 39:7;2O (0.539),SM 39:7;2O,[M+Na]+,C44H77N2O6P,CCCCCCC(O)C(COP([O-])(=O)OCC[N+](C)(C)C)NC(=O)CCCCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,783.54115,0.54,3,284.8,9.99E+05,15.44,783.6308,783.6366,3,0.226,15.277,15.698,DETECTED,783.63511,4.51E+05,4.29E+06,1.385,1.287,4.29E+06,-0.099,6.38E+05,15.42,783.63171,783.63684,3,0.152,15.269,15.528,DETECTED,783.63498,3.86E+05,4.47E+06,0.551,0.857,4.47E+06,-0.083,9.01E+05,15.527,783.6308,783.63806,4,0.244,15.282,15.663,DETECTED,783.63531,2.86E+05,4.05E+06,0.582,0.804,4.05E+06,-0.183,8.90E+05,15.461,783.63147,783.63672,3,0.244,15.297,15.636,DETECTED,783.63534,4.60E+05,4.18E+06,1.083,1.037,4.18E+06,-0.11
13935,15.462,15.319,15.615,677.45813,677.45795,677.45856,1.00E+07,1.86E+06,3.34E+06,1.00E+07,14,1,4,0,0.92,0.15,0.0001,0.021,,,,,,,,,,1.86E+06,15.482,677.45776,677.45825,4,0.192,15.319,15.615,DETECTED,677.45805,3.34E+06,1.00E+07,0.812,0.906,1.00E+07,-0.197,1.34E+06,15.42,677.4577,677.45837,4,0.182,15.338,15.556,DETECTED,677.458,3.66E+06,8.87E+06,1.657,1.329,8.87E+06,-0.156,1.08E+06,15.474,677.45795,677.45856,3,0.126,15.351,15.513,DETECTED,677.45824,4.10E+06,9.71E+06,0.317,0.658,9.71E+06,-0.103,1.37E+06,15.472,677.45795,677.45856,3,0.158,15.365,15.582,DETECTED,677.45822,4.24E+06,8.90E+06,1.025,1.013,8.90E+06,-0.153
