id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,alignment_scores:rate,alignment_scores:aligned_features_n,alignment_scores:align_extra_features,alignment_scores:weighted_distance_score,alignment_scores:mz_diff_ppm,alignment_scores:mz_diff,alignment_scores:rt_absolute_error,spectral_db_matches:spectral_db_matches,spectral_db_matches:compound_name,spectral_db_matches:ion_adduct,spectral_db_matches:mol_formula,spectral_db_matches:smiles,spectral_db_matches:precursor_mz,spectral_db_matches:cosine_score,spectral_db_matches:n_matching_signals,spectral_db_matches:ccs,datafile:NEG_NIST_2.mzML:area,datafile:NEG_NIST_2.mzML:rt,datafile:NEG_NIST_2.mzML:mz_range:min,datafile:NEG_NIST_2.mzML:mz_range:max,datafile:NEG_NIST_2.mzML:fragment_scans,datafile:NEG_NIST_2.mzML:fwhm,datafile:NEG_NIST_2.mzML:rt_range:min,datafile:NEG_NIST_2.mzML:rt_range:max,datafile:NEG_NIST_2.mzML:feature_state,datafile:NEG_NIST_2.mzML:mz,datafile:NEG_NIST_2.mzML:intensity_range:min,datafile:NEG_NIST_2.mzML:intensity_range:max,datafile:NEG_NIST_2.mzML:asymmetry_factor,datafile:NEG_NIST_2.mzML:tailing_factor,datafile:NEG_NIST_2.mzML:height,datafile:NEG_NIST_2.mzML:rt_ms2_apex_distance,datafile:NEG_NIST_0.mzML:area,datafile:NEG_NIST_0.mzML:rt,datafile:NEG_NIST_0.mzML:mz_range:min,datafile:NEG_NIST_0.mzML:mz_range:max,datafile:NEG_NIST_0.mzML:fragment_scans,datafile:NEG_NIST_0.mzML:fwhm,datafile:NEG_NIST_0.mzML:rt_range:min,datafile:NEG_NIST_0.mzML:rt_range:max,datafile:NEG_NIST_0.mzML:feature_state,datafile:NEG_NIST_0.mzML:mz,datafile:NEG_NIST_0.mzML:intensity_range:min,datafile:NEG_NIST_0.mzML:intensity_range:max,datafile:NEG_NIST_0.mzML:asymmetry_factor,datafile:NEG_NIST_0.mzML:tailing_factor,datafile:NEG_NIST_0.mzML:height,datafile:NEG_NIST_0.mzML:rt_ms2_apex_distance,datafile:NEG_NIST_1.mzML:area,datafile:NEG_NIST_1.mzML:rt,datafile:NEG_NIST_1.mzML:mz_range:min,datafile:NEG_NIST_1.mzML:mz_range:max,datafile:NEG_NIST_1.mzML:fragment_scans,datafile:NEG_NIST_1.mzML:fwhm,datafile:NEG_NIST_1.mzML:rt_range:min,datafile:NEG_NIST_1.mzML:rt_range:max,datafile:NEG_NIST_1.mzML:feature_state,datafile:NEG_NIST_1.mzML:mz,datafile:NEG_NIST_1.mzML:intensity_range:min,datafile:NEG_NIST_1.mzML:intensity_range:max,datafile:NEG_NIST_1.mzML:asymmetry_factor,datafile:NEG_NIST_1.mzML:tailing_factor,datafile:NEG_NIST_1.mzML:height,datafile:NEG_NIST_1.mzML:rt_ms2_apex_distance,datafile:NEG_NIST_3.mzML:area,datafile:NEG_NIST_3.mzML:rt,datafile:NEG_NIST_3.mzML:mz_range:min,datafile:NEG_NIST_3.mzML:mz_range:max,datafile:NEG_NIST_3.mzML:fragment_scans,datafile:NEG_NIST_3.mzML:fwhm,datafile:NEG_NIST_3.mzML:rt_range:min,datafile:NEG_NIST_3.mzML:rt_range:max,datafile:NEG_NIST_3.mzML:feature_state,datafile:NEG_NIST_3.mzML:mz,datafile:NEG_NIST_3.mzML:intensity_range:min,datafile:NEG_NIST_3.mzML:intensity_range:max,datafile:NEG_NIST_3.mzML:asymmetry_factor,datafile:NEG_NIST_3.mzML:tailing_factor,datafile:NEG_NIST_3.mzML:height,datafile:NEG_NIST_3.mzML:rt_ms2_apex_distance
14224,16.093,16.077,16.139,808.48116,808.47876,808.48279,1.06E+05,4.18E+03,4.27E+04,1.06E+05,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,4.18E+03,16.093,808.47876,808.48279,,0.028,16.077,16.139,DETECTED,808.48116,4.27E+04,1.06E+05,2.893,1.947,1.06E+05,,,,,,,,,,UNKNOWN,,,,,,,
14225,16.093,16.077,16.155,1693.14189,1693.13794,1693.1449,9.08E+04,5.55E+03,3.98E+04,9.08E+04,0,0.25,1,2,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,5.55E+03,16.093,1693.13794,1693.1449,,0.054,16.077,16.155,DETECTED,1693.14189,3.98E+04,9.08E+04,3.899,2.449,9.08E+04,,,,,,,,,,UNKNOWN,,,,,,,
14226,16.094,15.774,16.274,1187.49293,1187.49023,1187.49524,3.86E+05,8.71E+04,5.30E+04,3.86E+05,0,1,4,0,0.94,0.16,0.00019,0.013,,,,,,,,,,5.78E+04,16.12,1187.49109,1187.49524,,0.151,15.853,16.168,DETECTED,1187.49305,6.91E+04,3.31E+05,0.179,0.589,3.31E+05,,8.71E+04,16.079,1187.49048,1187.49963,,0.265,15.813,16.205,DETECTED,1187.4932,6.79E+04,3.86E+05,0.476,0.738,3.86E+05,,6.52E+04,16.093,1187.49023,1187.49524,,0.202,15.874,16.186,DETECTED,1187.49265,9.06E+04,3.06E+05,0.425,0.712,3.06E+05,,8.56E+04,16.083,1187.48877,1187.4967,,0.376,15.774,16.274,DETECTED,1187.49283,5.30E+04,2.90E+05,0.653,0.808,2.90E+05,
14227,16.094,15.839,16.464,806.60524,806.60376,806.60919,8.19E+05,2.69E+05,7.77E+04,8.19E+05,9,0.75,3,1,0.92,0.22,0.00017,0.018,,,,,,,,,,2.14E+05,16.12,806.60376,806.60919,3,0.474,15.839,16.31,DETECTED,806.60528,7.77E+04,7.11E+05,0.795,0.838,7.11E+05,-0.131,2.62E+05,16.094,806.60406,806.60638,3,0.384,15.86,16.364,DETECTED,806.60498,1.06E+05,8.19E+05,1.049,1.076,8.19E+05,-0.113,,,,,,,,,UNKNOWN,,,,,,,,2.69E+05,16.068,806.60437,806.60809,3,0.397,15.851,16.464,DETECTED,806.60545,7.79E+04,7.30E+05,1.963,1.413,7.30E+05,-0.098
14228,16.094,16.047,16.126,510.25516,510.25443,510.25562,9.89E+04,5.16E+03,3.34E+04,9.89E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,5.16E+03,16.094,510.25443,510.25562,,0.094,16.047,16.126,DETECTED,510.25516,3.34E+04,9.89E+04,0.667,0.833,9.89E+04,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
14229,16.094,16.063,16.126,550.28764,550.28662,550.28851,7.00E+04,3.22E+03,2.93E+04,7.00E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,3.22E+03,16.094,550.28662,550.28851,,0.06,16.063,16.126,DETECTED,550.28764,2.93E+04,7.00E+04,1,1,7.00E+04,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
14230,16.094,16.047,16.158,947.50728,947.50616,947.50916,1.35E+05,1.17E+04,6.06E+04,1.35E+05,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.17E+04,16.094,947.50616,947.50916,,0.086,16.047,16.158,DETECTED,947.50728,6.06E+04,1.35E+05,1.333,1.166,1.35E+05,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
14231,16.094,16.047,16.237,949.43838,949.43646,949.43976,4.90E+05,5.91E+04,1.48E+05,4.90E+05,0,0.25,1,2,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,5.91E+04,16.094,949.43646,949.43976,,0.144,16.047,16.237,DETECTED,949.43838,1.48E+05,4.90E+05,2.983,1.991,4.90E+05,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
14232,16.095,16.023,16.242,771.57439,771.57343,771.5766,1.47E+05,1.90E+04,3.39E+04,1.47E+05,0,0.5,2,0,0.87,0.19,0.00015,0.041,,,,,,,,,,6.50E+03,16.136,771.57343,771.5766,,0.059,16.12,16.199,DETECTED,771.57454,4.08E+04,1.24E+05,3.956,2.478,1.24E+05,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.90E+04,16.054,771.5722,771.57574,,0.2,16.023,16.242,DETECTED,771.57425,3.39E+04,1.47E+05,6.064,3.532,1.47E+05,
14233,16.098,16.014,16.139,593.34541,593.34448,593.34692,8.28E+04,6.79E+03,3.13E+04,8.28E+04,0,0.5,2,2,0.88,0.64,0.00038,0.009,,,,,,,,,,4.32E+03,16.088,593.34448,593.34692,,0.034,16.026,16.104,DETECTED,593.34579,3.13E+04,7.11E+04,0.255,0.628,7.11E+04,,,,,,,,,,UNKNOWN,,,,,,,,6.79E+03,16.107,593.34424,593.34656,,0.099,16.014,16.139,DETECTED,593.34503,3.65E+04,8.28E+04,0.343,0.671,8.28E+04,,,,,,,,,,UNKNOWN,,,,,,,
