id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,alignment_scores:rate,alignment_scores:aligned_features_n,alignment_scores:align_extra_features,alignment_scores:weighted_distance_score,alignment_scores:mz_diff_ppm,alignment_scores:mz_diff,alignment_scores:rt_absolute_error,spectral_db_matches:spectral_db_matches,spectral_db_matches:compound_name,spectral_db_matches:ion_adduct,spectral_db_matches:mol_formula,spectral_db_matches:smiles,spectral_db_matches:precursor_mz,spectral_db_matches:cosine_score,spectral_db_matches:n_matching_signals,spectral_db_matches:ccs,datafile:POS_NIST_3.mzML:area,datafile:POS_NIST_3.mzML:rt,datafile:POS_NIST_3.mzML:mz_range:min,datafile:POS_NIST_3.mzML:mz_range:max,datafile:POS_NIST_3.mzML:fragment_scans,datafile:POS_NIST_3.mzML:fwhm,datafile:POS_NIST_3.mzML:rt_range:min,datafile:POS_NIST_3.mzML:rt_range:max,datafile:POS_NIST_3.mzML:feature_state,datafile:POS_NIST_3.mzML:mz,datafile:POS_NIST_3.mzML:intensity_range:min,datafile:POS_NIST_3.mzML:intensity_range:max,datafile:POS_NIST_3.mzML:asymmetry_factor,datafile:POS_NIST_3.mzML:tailing_factor,datafile:POS_NIST_3.mzML:height,datafile:POS_NIST_3.mzML:rt_ms2_apex_distance,datafile:POS_NIST_2.mzML:area,datafile:POS_NIST_2.mzML:rt,datafile:POS_NIST_2.mzML:mz_range:min,datafile:POS_NIST_2.mzML:mz_range:max,datafile:POS_NIST_2.mzML:fragment_scans,datafile:POS_NIST_2.mzML:fwhm,datafile:POS_NIST_2.mzML:rt_range:min,datafile:POS_NIST_2.mzML:rt_range:max,datafile:POS_NIST_2.mzML:feature_state,datafile:POS_NIST_2.mzML:mz,datafile:POS_NIST_2.mzML:intensity_range:min,datafile:POS_NIST_2.mzML:intensity_range:max,datafile:POS_NIST_2.mzML:asymmetry_factor,datafile:POS_NIST_2.mzML:tailing_factor,datafile:POS_NIST_2.mzML:height,datafile:POS_NIST_2.mzML:rt_ms2_apex_distance,datafile:POS_NIST_0.mzML:area,datafile:POS_NIST_0.mzML:rt,datafile:POS_NIST_0.mzML:mz_range:min,datafile:POS_NIST_0.mzML:mz_range:max,datafile:POS_NIST_0.mzML:fragment_scans,datafile:POS_NIST_0.mzML:fwhm,datafile:POS_NIST_0.mzML:rt_range:min,datafile:POS_NIST_0.mzML:rt_range:max,datafile:POS_NIST_0.mzML:feature_state,datafile:POS_NIST_0.mzML:mz,datafile:POS_NIST_0.mzML:intensity_range:min,datafile:POS_NIST_0.mzML:intensity_range:max,datafile:POS_NIST_0.mzML:asymmetry_factor,datafile:POS_NIST_0.mzML:tailing_factor,datafile:POS_NIST_0.mzML:height,datafile:POS_NIST_0.mzML:rt_ms2_apex_distance,datafile:POS_NIST_1.mzML:area,datafile:POS_NIST_1.mzML:rt,datafile:POS_NIST_1.mzML:mz_range:min,datafile:POS_NIST_1.mzML:mz_range:max,datafile:POS_NIST_1.mzML:fragment_scans,datafile:POS_NIST_1.mzML:fwhm,datafile:POS_NIST_1.mzML:rt_range:min,datafile:POS_NIST_1.mzML:rt_range:max,datafile:POS_NIST_1.mzML:feature_state,datafile:POS_NIST_1.mzML:mz,datafile:POS_NIST_1.mzML:intensity_range:min,datafile:POS_NIST_1.mzML:intensity_range:max,datafile:POS_NIST_1.mzML:asymmetry_factor,datafile:POS_NIST_1.mzML:tailing_factor,datafile:POS_NIST_1.mzML:height,datafile:POS_NIST_1.mzML:rt_ms2_apex_distance
21,0.952,0.917,0.979,623.06138,623.06073,623.06274,4.53E+04,1.34E+03,9.87E+03,4.53E+04,0,0.5,2,0,0.99,0.03,0.00002,0.004,,,,,,,,,,1.34E+03,0.948,623.06073,623.06274,,0.08,0.917,0.979,DETECTED,623.0614,9.87E+03,3.10E+04,1.002,1.001,3.10E+04,,9.55E+02,0.956,623.0611,623.06189,,0.031,0.941,0.972,DETECTED,623.06136,1.42E+04,4.53E+04,1.006,1.003,4.53E+04,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
22,0.952,0.921,0.968,269.25349,269.25342,269.25351,3.85E+04,1.51E+03,1.93E+04,3.85E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.51E+03,0.952,269.25342,269.25351,,0.713,0.921,0.968,DETECTED,269.25349,1.93E+04,3.85E+04,0.493,0.747,3.85E+04,,,,,,,,,,UNKNOWN,,,,,,,
23,0.954,0.937,0.987,630.23187,630.23175,630.23248,4.53E+04,1.43E+03,1.67E+04,4.53E+04,0,0.5,2,0,0.96,0.25,0.00016,0.002,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,1.31E+03,0.956,630.23132,630.23242,,0.029,0.941,0.987,DETECTED,630.23171,1.67E+04,4.53E+04,2.007,1.504,4.53E+04,,1.43E+03,0.952,630.23175,630.23248,,0.158,0.937,0.983,DETECTED,630.23203,1.76E+04,3.72E+04,1.99,1.495,3.72E+04,,,,,,,,,,UNKNOWN,,,,,,,
24,0.964,0.933,0.979,608.21944,608.21863,608.22107,4.08E+04,1.28E+03,1.60E+04,4.08E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,1.28E+03,0.964,608.21863,608.22107,,0.035,0.933,0.979,DETECTED,608.21944,1.60E+04,4.08E+04,0.5,0.75,4.08E+04,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
25,0.964,0.917,0.979,645.075,645.07416,645.07556,3.74E+04,1.58E+03,9.47E+03,3.74E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,1.58E+03,0.964,645.07416,645.07556,,0.032,0.917,0.979,DETECTED,645.075,9.47E+03,3.74E+04,0.333,0.667,3.74E+04,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
26,0.964,0.948,1.024,673.82612,673.82556,673.82678,3.07E+04,1.38E+03,1.04E+04,3.07E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,1.38E+03,0.964,673.82556,673.82678,,0.039,0.948,1.024,DETECTED,673.82612,1.04E+04,3.07E+04,3.873,2.436,3.07E+04,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
27,0.964,0.941,1.018,699.84049,699.83978,699.84106,4.66E+04,2.06E+03,1.40E+04,4.66E+04,0,0.5,2,0,0.96,0.12,0.00008,0.008,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,2.06E+03,0.956,699.83966,699.84186,,0.041,0.941,1.018,DETECTED,699.8404,1.40E+04,4.66E+04,4.007,2.503,4.66E+04,,,,,,,,,,UNKNOWN,,,,,,,,1.20E+03,0.971,699.83978,699.84106,,0.029,0.956,1.002,DETECTED,699.84057,1.52E+04,4.28E+04,2,1.5,4.28E+04,
28,0.968,0.933,1.049,682.23029,682.22937,682.23187,5.46E+04,2.77E+03,1.32E+04,5.46E+04,0,0.5,2,0,0.89,0.64,0.00044,0.004,,,,,,,,,,2.77E+03,0.964,682.22937,682.23187,,0.025,0.933,1.039,DETECTED,682.23073,1.32E+04,5.46E+04,2.438,1.719,5.46E+04,,2.72E+03,0.972,682.22925,682.23047,,0.08,0.956,1.049,DETECTED,682.22985,1.71E+04,4.53E+04,4.978,2.989,4.53E+04,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,
29,0.971,0.924,0.987,644.90751,644.90692,644.90796,4.56E+04,2.05E+03,1.99E+04,4.56E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,2.05E+03,0.971,644.90692,644.90796,,0.036,0.924,0.987,DETECTED,644.90751,1.99E+04,4.56E+04,0.33,0.665,4.56E+04,
30,0.971,0.956,0.987,700.04108,700.04047,700.04236,3.67E+04,8.75E+02,1.89E+04,3.67E+04,0,0.25,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,8.75E+02,0.971,700.04047,700.04236,,0.031,0.956,0.987,DETECTED,700.04108,1.89E+04,3.67E+04,0.999,1,3.67E+04,
