feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_ion_detection_level,fragments_spectrum_detection_level,datafile:POS_NIST_2.mzML:area,datafile:POS_NIST_3.mzML:area,datafile:POS_NIST_1.mzML:area,datafile:POS_NIST_0.mzML:area,datafile:NEG_NIST_2.mzML:area,datafile:NEG_NIST_0.mzML:area,datafile:NEG_NIST_1.mzML:area,datafile:NEG_NIST_3.mzML:area
P4026,4.451,480.34518,480.34485,0.6870064288593526,C24H50NO6P,CCCCCCC=CCCCCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-16:1,LPC O-16:1(9),0.8780000000000001,0.8796450000000391,0.12272381790475691,0.27394355432380946,All,Some,113000.0,0.0,64710.7438016529,117000.0,,,,
P4065,4.509,480.30877,480.34485,75.112702884244,C24H50NO6P,CCCCCCCCCC=CCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-16:1,LPC O-16:1(6),0.516,0.4111249999999984,0.4112278371967253,0.4216947697573801,All,Some,0.0,0.0,0.0,0.0,,,,
P4065,4.509,480.30877,480.34485,75.112702884244,C24H50NO6P,CCCCCCC=CCCCCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-16:1,LPC O-16:1(9),0.8179999999999996,0.8432349999999929,0.12569292903229543,0.2666778432258356,All,Some,0.0,0.0,0.0,591.8347537878788,,,,
P4065,4.509,480.30877,480.34485,75.112702884244,C24H50NO6P,CCCCCCCCC=CCCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-16:1,LPC O-16:1(7),0.9580000000000002,0.6820000000000164,0.0,0.16400000000000164,Some,None,0.0,0.0,0.0,4438.165246212121,,,,
P4192,4.728,480.34509,480.34485,0.4996410391811963,C24H50NO6P,CCCCCCC=CCCCCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-16:1,LPC O-16:1(9),0.6959999999999997,0.7892850000000351,0.10436377375993361,0.23201951900795037,All,Some,0.0,0.0,6653.362541073384,0.0,,,,
P4192,4.728,480.34509,480.34485,0.4996410391811963,C24H50NO6P,CCCCCCCCCC=CCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-16:1,LPC O-16:1(6),0.5899999999999999,0.5971949999999708,0.0,0.11871949999999708,All,None,0.0,0.0,2426.637458926615,0.0,,,,
P4192,4.728,480.34509,480.34485,0.4996410391811963,C24H50NO6P,CCCCCCCCC=CCCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-16:1,LPC O-16:1(7),0.5660000000000007,0.35933500000004415,0.0,0.0925335000000045,All,None,0.0,0.0,0.0,0.0,,,,
P4271,4.775,480.34516,480.34485,0.6453696755843913,C24H50NO6P,CCCCCCC=CCCCCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-16:1,LPC O-16:1(9),0.6959999999999997,0.7893550000000289,0.08595831677373263,0.21730215341898895,All,Some,0.0,0.0,6162.420591456736,0.0,,,,
P4271,4.775,480.34516,480.34485,0.6453696755843913,C24H50NO6P,CCCCCCCCCC=CCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-16:1,LPC O-16:1(6),0.6739999999999995,0.5971949999999708,0.0,0.12711949999999705,All,None,0.0,0.0,2247.5794085432635,0.0,,,,
P4271,4.775,480.34516,480.34485,0.6453696755843913,C24H50NO6P,CCCCCCCCC=CCCCCCCOCC(O)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,LPC O-16:1,LPC O-16:1(7),0.5459999999999994,0.35940500000006637,0.0,0.09054050000000657,All,None,0.0,0.0,0.0,0.0,,,,
