feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_ion_detection_level,fragments_spectrum_detection_level,datafile:NEG_NIST_2.mzML:area,datafile:NEG_NIST_0.mzML:area,datafile:NEG_NIST_1.mzML:area,datafile:NEG_NIST_3.mzML:area
12714,15.465,723.49629,723.49703,1.0228100037268557,C41H73O8P,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)O,[M-H]-,PA 18:0_20:4,"PA 18:0_20:4(5,8,11,14)",0.8107500000000001,0.9207362500000613,0.0,0.17314862500000616,All,None,60145.27442526794,22764.912049107286,35773.05055836256,122184.33931484501
12714,15.465,723.49629,723.49703,1.0228100037268557,C41H73O8P,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)O,[M-H]-,PA 18:0_20:4,"PA 18:0_20:4(8,11,14,17)",0.7224999999999997,0.9419150000000087,0.0,0.16644150000000085,All,None,152854.72557473203,42335.08795089271,116226.94944163745,119815.66068515497
12713,15.465,804.48689,804.57601,110.76641472317809,C42H82NO8P,CCCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+HCOO]-,PC 16:0_18:1,PC 16:0_18:1(9),0.8480000000000008,0.816250000000025,0.24232964582193758,0.3602887166575527,All,Some,17634.101512795136,0.0,93725.90011614401,27670.041691483028
12713,15.465,804.48689,804.57601,110.76641472317809,C42H82NO8P,CCCCCCCCCCCC=CCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+HCOO]-,PC 16:0_18:1,PC 16:0_18:1(6),0.9499999999999993,0.7824400000000082,0.0,0.17324400000000076,All,None,84327.72515198644,0.0,51056.91056910569,90160.81000595592
12713,15.465,804.48689,804.57601,110.76641472317809,C42H82NO8P,CCCCCCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+HCOO]-,PC 16:0_18:1,PC 16:0_18:1(11),0.8109999999999982,0.7808550000000309,0.0,0.15918550000000292,All,None,200038.1733352184,348000.0,169217.18931475029,143169.14830256105
12746,15.474,854.59216,854.59166,0.5850747478487872,C46H84NO8P,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+HCOO]-,PC 18:0_20:4,"PC 18:0_20:4(8,11,14,17)",0.732285714285714,0.38323285714285965,0.40875304930864115,0.4385542965897703,All,Some,31841.66373637414,0.0,28594.183111993712,59059.35124624358
12746,15.474,854.59216,854.59166,0.5850747478487872,C46H84NO8P,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+HCOO]-,PC 18:0_20:4,"PC 18:0_20:4(5,8,11,14)",0.8039999999999994,0.8951975000000516,0.012930390349839291,0.18026406227987654,All,Some,141158.33626362585,0.0,86405.81688800629,145940.6487537564
12785,15.481,786.49292,786.52906,45.94871548666253,C42H78NO10P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OCC(N)C(=O)O,[M-H]-,PS 18:0_18:2,"PS 18:0_18:2(6,9)",0.9295,0.8245675000000858,0.0,0.1754067500000086,All,None,51140.00900883257,18119.999999999996,8941.216330679315,61154.938085170645
12785,15.481,786.49292,786.52906,45.94871548666253,C42H78NO10P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OCC(N)C(=O)O,[M-H]-,PS 18:0_18:2,"PS 18:0_18:2(9,12)",0.7885,0.9031500000000108,0.0,0.1691650000000011,All,None,274859.99099116743,276880.0,368058.7836693207,165845.06191482936
12802,15.485,787.49847,787.58584,110.93393959439955,C44H85O9P,CCCCCCCCCCCCCCCCCC(=O)OC(COCCCCCCCC=CCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-20:2_18:0,"PG O-20:2(8,11)_18:0",0.8390000000000004,0.8704750000000274,0.0,0.1709475000000028,All,None,19549.02363823227,50989.09090909091,64950.52331113225,29222.93862368258
