id,rt,mz,compound_name,adduct,cosine_score,mol_formula,smiles,datafile:neg_hela_LG1_O3.mzML:area,datafile:neg_hela_LG5_O3.mzML:area,datafile:neg_hela_HG3_O3.mzML:area,datafile:neg_hela_HG6_O3.mzML:area,datafile:neg_hela_LG2_O3.mzML:area,datafile:neg_hela_LG3_O3.mzML:area,datafile:neg_hela_LG6_O3.mzML:area,datafile:neg_hela_S4_O3.mzML:area,datafile:neg_hela_LG4_O3.mzML:area,datafile:neg_hela_HG1_O3.mzML:area,datafile:neg_hela_HG5_O3.mzML:area,datafile:neg_hela_HG2_O3.mzML:area,datafile:neg_hela_S2_O3.mzML:area,datafile:neg_hela_S1_O3.mzML:area,datafile:neg_hela_HG4_O3.mzML:area,datafile:neg_hela_S3_O3.mzML:area,datafile:neg_hela_S6_O3.mzML:area,datafile:neg_hela_S5_O3.mzML:area,chain_shorthand,db_shorthand,lipid_name,name,score
3557,6.058,907.53335,PI 18:1_22:6,[M-H]-,0.94,C49H81O13P,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7483.0,2595.0,PI(18:1_22:6),"PI(18:1(9)_22:6(4,7,10,13,16,19))","PI(18:1(9)_22:6(4,7,10,13,16,19))","PI(18:1(9)_22:6(4,7,10,13,16,19))",1.1774666666666669
3587,6.078,717.47062,PG 16:1_16:1,[M-H]-,0.97,C38H71O10P,CCCCCC\C=C/CCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCC\C=C/CCCCCC,24960.0,0.0,0.0,0.0,4034.0,0.0,1638.0,0.0,5046.0,49010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PG(16:1_16:1),PG(16:1(9)_16:1(9)),PG(16:1(9)_16:1(9)),PG(16:1(9)_16:1(9)),0.707
3608,6.094,769.50229,PG 18:1_18:3,[M-H]-,0.98,C42H75O10P,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,21210.0,0.0,0.0,3302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3640.0,0.0,0.0,0.0,0.0,0.0,PG(18:1_18:3),"PG(18:1(9)_18:3(6,9,12))","PG(18:1(9)_18:3(6,9,12))","PG(18:1(9)_18:3(9,12,15))",0.8854444444444444
3628,6.108,907.53149,PI 18:1_22:6,[M-H]-,0.94,C49H81O13P,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3095.0,0.0,0.0,0.0,0.0,2199.0,PI(18:1_22:6),"PI(18:1(9)_22:6(4,7,10,13,16,19))","PI(18:1(9)_22:6(4,7,10,13,16,19))","PI(18:1(9)_22:6(4,7,10,13,16,19))",1.1921666666666666
3652,6.124,745.50228,PG 16:1_18:1,[M-H]-,0.93,C40H75O10P,CCCCCCCC\C=C/CCCCCCCC(=O)OC(COC(=O)CCCCCCC\C=C/CCCCCC)COP(O)(=O)OCC(O)CO,0.0,180200.0,179500.0,208700.0,218200.0,144500.0,183300.0,244100.0,195900.0,0.0,189200.0,234700.0,268800.0,250300.0,203800.0,291700.0,245500.0,291600.0,PG(16:1_18:1),PG(16:1(9)_18:1(9)),PG(16:1(9)_18:1(9)),PG(16:1(9)_18:1(9)),0.8000000000000002
3693,6.155,793.5017,PG 16:0_22:6,[M-H]-,0.74,C44H75O10P,CCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PG(16:0_22:6),"PG(16:0_22:6(4,7,10,13,16,19))","PG(16:0_22:6(4,7,10,13,16,19))","PG(16:0_22:6(4,7,10,13,16,19))",0.717615384615385
3695,6.156,771.51741,PG 18:1_18:2,[M-H]-,0.91,C42H77O10P,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,0.0,0.0,0.0,4669.0,0.0,0.0,0.0,0.0,3514.0,0.0,0.0,0.0,0.0,5287.0,0.0,0.0,0.0,0.0,PG(18:1_18:2),"PG(18:1(9)_18:2(9,12))","PG(18:1(9)_18:2(9,12))","PG(18:1(9)_18:2(9,12))",0.8210714285714287
3701,6.16,743.48656,PG 16:1_18:2,[M-H]-,0.96,C40H73O10P,CCCCCC\C=C/CCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1037.0,7486.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PG(16:1_18:2),"PG(16:1(9)_18:2(9,12))","PG(16:1(9)_18:2(9,12))","PG(16:1(9)_18:2(9,12))",0.6710714285714285
3713,6.169,871.53425,PI 17:0_20:4,[M-H]-,0.96,C46H81O13P,CCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,0.0,48960.0,33000.0,22460.0,42310.0,41640.0,47310.0,45850.0,50080.0,0.0,26330.0,48950.0,51980.0,58050.0,37840.0,54110.0,52410.0,56060.0,PI(17:0_20:4),"PI(17:0_20:4(5,8,11,14))","PI(17:0_20:4(5,8,11,14))","PI(17:0_20:4(5,8,11,14))",1.309777777777777
3773,6.216,771.51801,PG 18:1_18:2,[M-H]-,0.96,C42H77O10P,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(COP(O)(=O)OCC(O)CO)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,0.0,0.0,0.0,0.0,0.0,0.0,6482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PG(18:1_18:2),"PG(18:1(9)_18:2(9,12))","PG(18:1(9)_18:2(9,12))","PG(18:1(9)_18:2(9,12))",0.7909285714285718
