id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,alignment_scores:rate,alignment_scores:aligned_features_n,alignment_scores:align_extra_features,alignment_scores:weighted_distance_score,alignment_scores:mz_diff_ppm,alignment_scores:mz_diff,alignment_scores:rt_absolute_error,alignment_scores:ion_mobility_absolute_error,spectral_db_matches:spectral_db_matches,spectral_db_matches:compound_name,spectral_db_matches:similarity_score,spectral_db_matches:n_matching_signals,spectral_db_matches:explained_intensity_percent,spectral_db_matches:ion_adduct,spectral_db_matches:mol_formula,spectral_db_matches:smiles,spectral_db_matches:precursor_mz,spectral_db_matches:mz_diff,spectral_db_matches:mz_diff_ppm,spectral_db_matches:ccs,datafile:POS_liver1_0.mzML:feature_state,datafile:POS_liver1_0.mzML:mz,datafile:POS_liver1_0.mzML:mz_range:min,datafile:POS_liver1_0.mzML:mz_range:max,datafile:POS_liver1_0.mzML:rt,datafile:POS_liver1_0.mzML:rt_range:min,datafile:POS_liver1_0.mzML:rt_range:max,datafile:POS_liver1_0.mzML:height,datafile:POS_liver1_0.mzML:area,datafile:POS_liver1_0.mzML:intensity_range:min,datafile:POS_liver1_0.mzML:intensity_range:max,datafile:POS_liver1_0.mzML:fwhm,datafile:POS_liver1_0.mzML:tailing_factor,datafile:POS_liver1_0.mzML:asymmetry_factor,datafile:POS_liver1_0.mzML:fragment_scans,datafile:POS_liver1_0.mzML:rt_ms2_apex_distance,datafile:POS_liver1_1.mzML:feature_state,datafile:POS_liver1_1.mzML:mz,datafile:POS_liver1_1.mzML:mz_range:min,datafile:POS_liver1_1.mzML:mz_range:max,datafile:POS_liver1_1.mzML:rt,datafile:POS_liver1_1.mzML:rt_range:min,datafile:POS_liver1_1.mzML:rt_range:max,datafile:POS_liver1_1.mzML:height,datafile:POS_liver1_1.mzML:area,datafile:POS_liver1_1.mzML:intensity_range:min,datafile:POS_liver1_1.mzML:intensity_range:max,datafile:POS_liver1_1.mzML:fwhm,datafile:POS_liver1_1.mzML:tailing_factor,datafile:POS_liver1_1.mzML:asymmetry_factor,datafile:POS_liver1_1.mzML:fragment_scans,datafile:POS_liver1_1.mzML:rt_ms2_apex_distance,datafile:POS_liver1_2.mzML:feature_state,datafile:POS_liver1_2.mzML:mz,datafile:POS_liver1_2.mzML:mz_range:min,datafile:POS_liver1_2.mzML:mz_range:max,datafile:POS_liver1_2.mzML:rt,datafile:POS_liver1_2.mzML:rt_range:min,datafile:POS_liver1_2.mzML:rt_range:max,datafile:POS_liver1_2.mzML:height,datafile:POS_liver1_2.mzML:area,datafile:POS_liver1_2.mzML:intensity_range:min,datafile:POS_liver1_2.mzML:intensity_range:max,datafile:POS_liver1_2.mzML:fwhm,datafile:POS_liver1_2.mzML:tailing_factor,datafile:POS_liver1_2.mzML:asymmetry_factor,datafile:POS_liver1_2.mzML:fragment_scans,datafile:POS_liver1_2.mzML:rt_ms2_apex_distance,datafile:POS_liver1_3.mzML:feature_state,datafile:POS_liver1_3.mzML:mz,datafile:POS_liver1_3.mzML:mz_range:min,datafile:POS_liver1_3.mzML:mz_range:max,datafile:POS_liver1_3.mzML:rt,datafile:POS_liver1_3.mzML:rt_range:min,datafile:POS_liver1_3.mzML:rt_range:max,datafile:POS_liver1_3.mzML:height,datafile:POS_liver1_3.mzML:area,datafile:POS_liver1_3.mzML:intensity_range:min,datafile:POS_liver1_3.mzML:intensity_range:max,datafile:POS_liver1_3.mzML:fwhm,datafile:POS_liver1_3.mzML:tailing_factor,datafile:POS_liver1_3.mzML:asymmetry_factor,datafile:POS_liver1_3.mzML:fragment_scans,datafile:POS_liver1_3.mzML:rt_ms2_apex_distance
21,0.9438,0.9168,1.0761,608.21877,608.21759,608.22003,4.845E4,3.36E3,6.363E3,4.845E4,0,0.25,1,1,1,0,0,0,0,,,,,,,,,,,,,DETECTED,608.21877,608.21759,608.22003,0.9438,0.9168,1.0761,4.845E4,3.36E3,6.363E3,4.845E4,0.0668,2.9448,4.4155,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,
22,0.9438,0.9168,1.045,630.56619,630.5657,630.56677,3.94E4,2.721E3,1.004E4,3.94E4,0,0.25,1,1,1,0,0,0,0,,,,,,,,,,,,,DETECTED,630.56619,630.5657,630.56677,0.9438,0.9168,1.045,3.94E4,2.721E3,1.004E4,3.94E4,1.0906,2.3694,3.7388,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,
23,0.9457,0.9009,1.0995,354.07694,354.07663,354.07782,4.226E4,3.262E3,5.388E3,4.226E4,0,0.25,1,1,1,0,0,0,0,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,DETECTED,354.07694,354.07663,354.07782,0.9457,0.9009,1.0995,4.226E4,3.262E3,5.388E3,4.226E4,0.0476,2.2137,2.4753,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,
24,0.9457,0.9164,1.0059,358.20691,358.20685,358.20718,3.544E4,2.174E3,9.226E3,3.544E4,0,0.25,1,1,1,0,0,0,0,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,DETECTED,358.20691,358.20685,358.20718,0.9457,0.9164,1.0059,3.544E4,2.174E3,9.226E3,3.544E4,0.0609,1.5264,2.0528,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,
25,0.9457,0.9164,1.0529,630.56579,630.56488,630.56671,3.434E4,1.765E3,5.406E3,3.434E4,0,0.25,1,1,1,0,0,0,0,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,DETECTED,630.56579,630.56488,630.56671,0.9457,0.9164,1.0529,3.434E4,1.765E3,5.406E3,3.434E4,0.0999,2.3272,2.6813,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,
26,0.9489,0.9174,1.0696,593.37657,593.37537,593.37805,3.771E4,2.291E3,6.674E3,3.771E4,0,0.25,1,1,1,0,0,0,0,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,DETECTED,593.37657,593.37537,593.37805,0.9489,0.9174,1.0696,3.771E4,2.291E3,6.674E3,3.771E4,0.0345,2.4132,3.0975,,,UNKNOWN,,,,,,,,,,,,,,,
27,0.9489,0.9018,1.0384,637.40252,637.40057,637.40302,4.125E4,1.941E3,5.855E3,4.125E4,0,0.25,1,0,1,0,0,0,0,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,DETECTED,637.40252,637.40057,637.40302,0.9489,0.9018,1.0384,4.125E4,1.941E3,5.855E3,4.125E4,0.0434,1.4492,2.5059,,,UNKNOWN,,,,,,,,,,,,,,,
28,0.9489,0.9174,1.054,637.56953,637.56775,637.57001,3.94E4,2.212E3,6.755E3,3.94E4,0,0.25,1,0,1,0,0,0,0,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,DETECTED,637.56953,637.56775,637.57001,0.9489,0.9174,1.054,3.94E4,2.212E3,6.755E3,3.94E4,0.0342,2.1664,3.4742,,,UNKNOWN,,,,,,,,,,,,,,,
29,0.9543,0.8936,1.0325,310.11304,310.11282,310.11331,3.167E4,2.758E3,5.661E3,3.167E4,0,0.25,1,3,1,0,0,0,0,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,DETECTED,310.11304,310.11282,310.11331,0.9543,0.8936,1.0325,3.167E4,2.758E3,5.661E3,3.167E4,0.0912,1.1442,1.2884,,
30,0.9543,0.9227,1.0479,586.37339,586.37292,586.37433,4.338E4,2.606E3,6.736E3,4.338E4,0,0.25,1,3,1,0,0,0,0,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,DETECTED,586.37339,586.37292,586.37433,0.9543,0.9227,1.0479,4.338E4,2.606E3,6.736E3,4.338E4,0.0561,1.9791,2.6687,,
31,0.9543,0.9092,1.0635,593.37625,593.37524,593.37756,3.541E4,2.455E3,6.116E3,3.541E4,0,0.25,1,1,1,0,0,0,0,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,DETECTED,593.37625,593.37524,593.37756,0.9543,0.9092,1.0635,3.541E4,2.455E3,6.116E3,3.541E4,0.1356,1.7116,2.1719,,
32,0.9543,0.9227,1.0791,593.54358,593.54327,593.54431,6.671E4,3.33E3,6.748E3,6.671E4,0,0.25,1,1,1,0,0,0,0,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,DETECTED,593.54358,593.54327,593.54431,0.9543,0.9227,1.0791,6.671E4,3.33E3,6.748E3,6.671E4,0.0299,2.4713,2.9831,,
33,0.9543,0.9092,1.0325,600.8832,600.88177,600.88568,4.931E4,2.389E3,5.767E3,4.931E4,0,0.25,1,2,1,0,0,0,0,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,DETECTED,600.8832,600.88177,600.88568,0.9543,0.9092,1.0325,4.931E4,2.389E3,5.767E3,4.931E4,0.0398,1.3675,1.8982,,
34,0.9543,0.8936,1.0479,608.21905,608.21747,608.21954,4.467E4,2.776E3,5.03E3,4.467E4,0,0.25,1,1,1,0,0,0,0,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,DETECTED,608.21905,608.21747,608.21954,0.9543,0.8936,1.0479,4.467E4,2.776E3,5.03E3,4.467E4,0.0535,1.2713,1.5216,,
35,0.9543,0.9227,1.0012,645.24167,645.24125,645.24231,4.553E4,1.279E3,7.344E3,4.553E4,0,0.25,1,0,1,0,0,0,0,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,DETECTED,645.24167,645.24125,645.24231,0.9543,0.9227,1.0012,4.553E4,1.279E3,7.344E3,4.553E4,0.0208,1.2404,1.4807,,
36,0.9543,0.9227,1.0325,664.81994,664.81915,664.82172,4.16E4,2.069E3,9.752E3,4.16E4,0,0.25,1,1,1,0,0,0,0,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,DETECTED,664.81994,664.81915,664.82172,0.9543,0.9227,1.0325,4.16E4,2.069E3,9.752E3,4.16E4,0.0297,1.7354,2.4708,,
