name,IN6,IN2,HFOA6,HFOA3,IN5,IN3,HG2,HG1,HG5,HFOA1,IN1,HFOA4,HG6,HFOA2,HFOA5,HG3,IN4,HG4
group,HG_Inhibitor,HG_Inhibitor,HF_OA,HF_OA,HG_Inhibitor,HG_Inhibitor,HG,HG,HG,HF_OA,HG_Inhibitor,HF_OA,HG,HF_OA,HF_OA,HG,HG_Inhibitor,HG
"TG(18:1(9)_18:1(9)_20:5(5,8,11,14,17))",87360,81510,275800,293300,87000,86870,177640,254010,142400,295200,86690,298300,161300,327600,286400,225100,85960,217040
TG(18:1(9)_18:1(9)_22:1(13)),147100,141500,1267000,1227000,148300,152600,569900,874200,597200,1252000,162500,1276000,612000,1212000,1268000,778300,127300,891700
"TG(18:1(9)_18:1(9)_22:2(13,16))",0,0,531500,533800,0,0,184400,295300,144400,468300,0,533400,181000,545200,510300,210600,0,283000
"TG(18:1(9)_18:1(9)_22:3(10,13,16))",0,0,400700,405700,0,0,78700,100800,0,413200,0,362000,87020,381600,365000,0,0,0
"TG(18:1(9)_18:1(9)_22:4(7,10,13,16))",121900,169600,662400,648700,177100,142900,292200,456000,289400,660800,197900,662600,296000,685400,659600,452100,172100,470700
"TG(18:1(9)_18:1(9)_22:5(7,10,13,16,19))",117680,122950,805250,751080,122270,135500,272360,450330,277080,812440,125090,816350,290290,852830,746350,461680,126060,446640
"TG(18:1(9)_18:1(9)_22:6(4,7,10,13,16,19))",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50330
"TG(18:1(9)_18:2(9,12)_18:2(9,12))",1701000,1741000,2177330,2566000,1677000,1664000,1725000,2972100,1642000,2937000,1957000,2551000,1745000,2677000,2484000,2706000,1650000,2417500
"TG(18:1(9)_18:2(9,12)_22:6(4,7,10,13,16,19))",0,0,41680,40420,0,0,0,0,0,35930,0,44590,0,43900,38600,0,0,0
"TG(18:2(9,12)_18:2(9,12)_18:2(9,12))",2055700,1959600,1814000,1955500,2089000,2055500,1661800,3086990,1743500,2383000,2071200,1925000,2005800,2298700,1852600,2794800,1949800,2340900
"TG(18:2(9,12)_18:2(9,12)_18:3(9,12,15))",592140,543680,643300,697100,564904,580220,558220,850350,578430,614300,600364,673800,562760,678900,632200,887800,542214,707508
"TG(18:2(9,12)_18:2(9,12)_22:0)",0,0,0,0,54450,0,0,0,0,0,0,0,0,0,0,0,0,0
"TG(18:2(9,12)_18:3(9,12,15)_18:3(9,12,15))",51800,58340,55880,58580,49300,56300,49390,74087,48040,56660,51480,51190,55110,60542,42570,73200,59010,68660
