row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,neg_FRN5_O3.mzML Peak area,neg_FRN4_O3.mzML Peak area,neg_FRN3_O3.mzML Peak area,neg_FRN2_O3.mzML Peak area,neg_FRN1_O3.mzML Peak area,neg_HFO1_O3.mzML Peak area,neg_HFO3_O3.mzML Peak area,neg_HFO2_O3.mzML Peak area,neg_HFO5_O3.mzML Peak area,neg_HFO4_O3.mzML Peak area,
73,544.1673585344479,0.0684695,,,,,,,,,,,27757.89,22735.13,0,14798.797,21727.23,24459.867,29084.213,0,28301.766,17239.113,
74,569.1908773146303,0.06913836,,,,,,,,,,,83650.03,59866.08,57769.027,69158.79,53428.117,61421.21,66253.92,45741.08,76985.37,61472.312,
75,586.1677898414443,0.069225214,,,,,,,,,,,210633.5,153110.6,222271.84,394526.38,352204.56,141949.0,172383.61,141623.81,197274.8,237323.17,
76,276.8675635183671,0.069632776,,,,,,,,,,,29116.793,28991.234,12020.679,0,34844.87,40179.887,40261.51,20931.674,27792.291,19719.717,
77,247.9244379079402,0.06980715,,,,,,,,,,,0,162139.1,193259.44,62077.945,122624.0,81166.39,126948.48,125241.97,59781.562,118683.04,
78,573.1885698781964,0.069778055,,,,,,,,,,,70246.56,0,65111.58,46543.688,54193.793,58567.29,69637.83,54347.93,81863.15,95629.305,
79,283.896794086071,0.07028404,,,,,,,,,,,0,19136.81,26091.303,19107.635,18476.088,0,9013.669,6837.842,6764.086,11579.916,
80,217.90769460402828,0.07033471,,,,,,,,,,,8239.191,6186.8955,5220.7646,0,6737.493,6186.0835,0,6681.3945,10216.094,5623.31,
81,337.87841900754614,0.07065668,,,,,,,,,,,38199.55,36713.22,43453.125,46711.496,40498.965,41099.94,27790.191,34509.71,30004.14,33859.93,
82,482.104534087314,0.070654415,,,,,,,,,,,7452.3057,8121.4746,3881.7163,7036.152,6807.709,6265.295,5063.5005,7093.95,4669.2,3607.2485,
83,278.8643820078226,0.07091834,,,,,,,,,,,0,6299.337,0,0,0,7977.711,4823.566,6165.44,0,5304.4316,
84,260.8970833545452,0.07153115,,,,,,,,,,,355108.94,272581.8,127369.625,0,148654.44,256471.67,113420.34,80795.45,210111.56,216738.55,
85,668.136499304865,0.07150029,,,,,,,,,,,22293.033,9177.512,0,6355.038,17952.064,13150.043,7598.3506,10054.151,13904.623,16111.946,
86,599.2174846255707,0.07191532,,,,,,,,,,,0,0,0,7259.1753,0,6694.592,0,0,0,0,
87,317.91683817568565,0.07200755,,,,,,,,,,,0,34574.75,22704.143,35593.098,0,32482.16,20213.473,0,31141.848,0,
88,255.96340975957833,0.07224526,,,,,,,,,,,27592.564,20715.676,18197.328,14224.391,19922.438,15451.672,28635.838,16283.879,22844.262,17920.768,
89,252.90345588930853,0.07226253,,,,,,,,,,,13308.81,30820.332,30494.658,34693.594,30528.004,17513.094,12615.172,26264.533,15957.975,44808.62,
90,357.84802110848796,0.07233398,,,,,,,,,,,18615.004,9651.712,11917.585,8114.287,13284.283,11830.6455,7418.7544,12667.817,13149.606,7743.869,
91,274.9118119241569,0.07285109,,,,,,,,,,,9547.088,9171.6,9039.965,7158.8145,7625.8276,4720.702,9340.87,7994.195,3454.3105,0,
92,370.8332497646629,0.07334755,,,,,,,,,,,12199.82,4682.3643,0,2565.3599,0,0,0,0,4389.1216,4262.048,
93,585.1651718723111,0.07368314,,,,,,,,,,,31299.834,22013.098,29697.049,44540.125,28918.125,24637.145,12383.943,23670.117,35384.926,33670.453,
94,564.0747038213333,0.07385168,,,,,,,,,,,28616.258,26993.621,23604.375,16020.662,25011.002,30240.363,29141.715,22041.344,20421.596,14680.515,
95,554.1955044138798,0.074073106,,,,,,,,,,,5492.9414,0,5065.107,0,0,0,0,0,4401.202,0,
96,584.1710404469654,0.07503494,,,,,,,,,,,0,0,3799.025,0,0,3527.133,0,5510.1064,0,0,
97,275.87992796098473,0.07531086,,,,,,,,,,,13233.729,8810.814,0,7436.9478,0,4324.0376,14983.911,8140.409,15084.837,0,
98,314.89120860833907,0.07679397,,,,,,,,,,,20268.453,0,0,9873.863,11928.322,12211.169,0,32806.38,0,0,
99,538.1645945996332,0.077277,,,,,,,,,,,4712.5806,0,7133.2646,2080.4465,3990.4695,4654.314,4312.3174,5735.271,0,0,
100,434.82860013851587,0.07730953,,,,,,,,,,,11546.503,9861.401,0,7253.458,8880.163,8414.675,0,6002.371,0,0,
101,576.0926891319191,0.07741554,,,,,,,,,,,0,8337.992,3986.0698,0,3320.434,0,3409.0437,6230.613,4780.192,0,
102,311.85675004916493,0.07744867,,,,,,,,,,,4820.3984,0,0,4939.13,0,0,5646.4854,7305.2983,0,6724.5566,
103,560.0813925138182,0.07743069,,,,,,,,,,,0,3630.5498,7561.555,11004.928,7146.6353,0,0,11275.697,0,6936.679,
104,211.90074094392392,0.07779728,,,,,,,,,,,63945.785,58604.01,84471.7,0,0,30625.744,34424.773,40233.793,60650.43,0,
105,269.906367152012,0.077817686,,,,,,,,,,,4517.1045,4582.994,0,0,0,5223.6875,4278.63,6570.28,1935.1492,3734.1907,
106,485.10148957692303,0.07789284,,,,,,,,,,,0,39405.895,37155.383,36216.613,30762.98,26005.807,29602.885,28390.656,24133.86,0,
107,246.864059752815,0.078226656,,,,,,,,,,,0,5691.348,6893.0645,0,10435.849,9706.698,6691.549,7252.1035,13449.803,20081.984,
108,336.87876040539135,0.07839483,,,,,,,,,,,1276052.2,1044451.7,548946.06,678472.4,565898.8,582595.5,627092.6,496393.06,735582.6,957577.6,
109,309.859765428107,0.07859795,,,,,,,,,,,31762.12,11282.351,15674.851,21464.63,26766.854,23920.643,14209.677,21863.617,27808.543,41911.25,
110,545.169997521426,0.07945675,,,,,,,,,,,0,0,0,0,5554.876,6422.001,0,0,0,0,
111,275.88725170272824,0.07960643,,,,,,,,,,,0,0,0,0,0,0,0,0,2734.05,0,
112,418.98054054441803,0.07960643,,,,,,,,,,,0,0,0,0,0,0,0,0,12908.352,0,
113,670.1329206879988,0.079911284,,,,,,,,,,,0,3665.8115,0,5533.1733,3982.167,0,0,5458.4424,8916.856,3009.9712,
114,419.97705663013284,0.079951994,,,,,,,,,,,4536.8223,9261.807,6808.012,0,2191.4082,7854.293,6449.4146,8868.137,7585.003,5536.2656,
115,652.2877230456238,0.08003871,,,,,,,,,,,38066.344,39762.977,0,0,31728.467,33519.113,42597.383,35871.21,34080.574,32194.271,
116,730.2654124931695,0.08093429,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2199.4214,
117,351.86038589846385,0.08116266,,,,,,,,,,,33678.016,29270.172,25438.969,33323.613,30002.4,31700.816,15496.428,20415.693,28437.885,0,
118,348.9230379229716,0.08207105,,,,,,,,,,,5708.951,7401.56,0,11073.272,0,6880.072,8990.867,0,3495.7478,4819.116,
119,335.9120047391729,0.082494274,,,,,,,,,,,4317.919,0,0,0,9563.341,16170.481,5143.852,5995.76,4532.365,4476.8574,
120,622.0435646173315,0.08273814,,,,,,,,,,,10283.037,3323.0415,6346.5396,0,0,5180.361,5219.632,6058.8755,0,0,
121,205.91401836035106,0.08407016,,,,,,,,,,,4983.634,0,2756.4644,7027.8047,6004.596,4616.2285,0,0,2199.0066,4747.229,
122,224.90862921018584,0.0842367,,,,,,,,,,,57447.21,50297.32,55240.47,47869.793,47346.23,34468.62,28159.07,34794.777,52903.64,62904.766,
123,353.8562953566071,0.084428996,,,,,,,,,,,21273.473,17078.488,15836.01,11973.401,15643.969,15293.34,11993.6,11723.795,19853.791,14309.044,
124,286.8964981099771,0.08541131,,,,,,,,,,,37570.67,43407.848,46611.426,16214.411,43269.85,20843.951,29845.195,25766.928,30305.934,22054.51,
125,305.890848256729,0.08603842,,,,,,,,,,,0,3846.0232,6203.0815,0,0,3934.6936,6395.713,7755.127,8348.877,5365.7344,
126,435.8248197673578,0.08633538,,,,,,,,,,,16298.838,7348.8706,14328.713,0,14201.582,7952.8867,0,8983.722,15096.369,0,
127,245.9289324161429,0.08735368,,,,,,,,,,,0,3572.6658,0,2991.3196,0,0,0,0,0,0,
128,334.8834315626261,0.08880939,,,,,,,,,,,30927.303,28190.975,40868.08,20874.766,33504.766,36092.375,40988.312,34088.22,35660.863,44095.71,
129,213.9163974059978,0.0900538,,,,,,,,,,,3872.304,17276.326,16057.01,16607.707,9046.442,3923.5815,10961.615,6825.1875,5945.3486,3653.6484,
130,281.9063569578905,0.09012988,,,,,,,,,,,11353.896,9274.659,7319.157,9900.283,11284.633,0,7790.339,8268.109,12278.93,12963.568,
131,604.1782208326825,0.090611726,,,,,,,,,,,10362.6,0,0,0,11003.8545,0,0,8485.565,0,0,
132,582.1909289472947,0.09116238,,,,,,,,,,,0,11101.693,7637.4277,6588.295,0,5996.878,4847.7266,8608.143,12466.886,7464.6187,
133,252.92725663829006,0.09310717,,,,,,,,,,,180813.55,94514.516,235924.17,128174.16,230260.25,63665.29,109448.35,99356.17,134695.03,127699.09,
134,245.9290498968233,0.0941857,,,,,,,,,,,3393.992,2945.6953,0,3401.9785,5956.389,11079.729,0,3590.1177,4424.9844,4301.5415,
135,276.8675112042374,0.09454148,,,,,,,,,,,0,0,18971.98,0,0,0,0,0,0,0,
136,227.89020795032425,0.09475462,,,,,,,,,,,5470.076,5269.9453,0,0,6237.586,7783.924,0,7374.557,5837.544,6088.453,
137,572.1885446497741,0.09477052,,,,,,,,,,,496858.78,0,267599.75,0,263661.72,0,0,0,0,0,
138,239.90356383022183,0.09480756,,,,,,,,,,,0,0,0,3006.1177,0,0,0,0,0,0,
139,584.1901168005927,0.09484577,,,,,,,,,,,0,6342.2324,0,0,0,0,0,0,3450.0938,0,
140,508.18931327896513,0.094879,,,,,,,,,,,0,21627.627,0,0,0,0,0,0,0,0,
141,565.0763789338545,0.094879,,,,,,,,,,,0,5343.0825,0,0,0,0,0,0,0,0,
142,670.1329321153959,0.094879,,,,,,,,,,,0,5113.031,0,0,0,0,0,0,0,0,
143,202.90060224522858,0.09508363,,,,,,,,,,,0,0,0,0,0,6195.62,0,0,0,0,
144,501.94464065198656,0.09508363,,,,,,,,,,,0,0,0,0,0,2649.2793,0,0,0,0,
145,338.8746342617195,0.095680915,,,,,,,,,,,0,10738.695,0,0,11720.665,0,20346.076,0,0,0,
146,588.1667702332502,0.09633815,,,,,,,,,,,20782.871,18517.68,16200.142,21143.459,0,16940.547,17440.004,13932.36,11741.701,16408.092,
147,223.9093929341536,0.0964652,,,,,,,,,,,0,0,0,0,0,0,0,2179.4321,0,0,
148,338.9098165416513,0.0964652,,,,,,,,,,,0,0,0,0,0,0,0,6290.5723,0,0,
149,653.2898896678705,0.10242509,,,,,,,,,,,15449.473,6054.5044,0,16297.183,11468.075,14111.931,13248.528,6410.912,0,10611.375,
150,355.8517499609455,0.10278816,,,,,,,,,,,205519.58,0,0,179396.27,152845.97,151402.22,77176.13,210122.88,0,0,
151,304.8863913548918,0.10500367,,,,,,,,,,,0,0,0,4111.127,0,4171.66,2072.777,0,4751.9136,0,
