feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_ion_detection_level,fragments_spectrum_detection_level,datafile:POS_liver1_0.mzML:area,datafile:POS_liver1_1.mzML:area,datafile:POS_liver1_2.mzML:area,datafile:POS_liver1_3.mzML:area
17560,9.4935,838.55876,838.55926,0.5962607818416752,C46H77O10P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCCC=CCCCCCCCC,[M+NH4]+,BMP 18:1_22:6,"BMP 18:1(9)_22:6(4,7,10,13,16,19)",0.6107249999999986,0.913038750000041,0.0,0.15237637500000398,Some,None,0.0,0.0,118252.12052383149,496813.01542290003
17560,9.4935,838.55876,838.55926,0.5962607818416752,C46H77O10P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCCCCC=CCCCCCC,[M+NH4]+,BMP 18:1_22:6,"BMP 18:1(11)_22:6(4,7,10,13,16,19)",0.5563599999999991,0.7477070000000481,0.0,0.1304067000000047,Some,None,0.0,0.0,445873.9397380843,526441.476894586
17736,9.5329,862.55947,862.55926,0.24346153334234122,C48H77O10P,CCCCCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCC=CCC=CCC=CCC=CCC,[M+NH4]+,BMP 20:4_22:5,"BMP 20:4(8,11,14,17)_22:5(4,7,10,13,16)",0.8303285714285715,0.6351185714285796,0.07753370774445432,0.20857168048127858,Some,Some,43463.857435340324,0.0,,0.0
17736,9.5329,862.55947,862.55926,0.24346153334234122,C48H77O10P,CCCCCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCC=CCC=CCC=CCC=CCCCCC,[M+NH4]+,BMP 20:4_22:5,"BMP 20:4(5,8,11,14)_22:5(4,7,10,13,16)",0.7774461538461538,0.5248923076922682,0.08349783910941234,0.1970321174413721,Some,Some,16279.652223568572,0.0,,0.0
17736,9.5329,862.55947,862.55926,0.24346153334234122,C48H77O10P,CCC=CCC=CCC=CCC=CCC=CCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCC=CCC=CCC=CCC=CCCCCC,[M+NH4]+,BMP 20:4_22:5,"BMP 20:4(5,8,11,14)_22:5(7,10,13,16,19)",0.7079400000000007,0.7538720000000012,0.023406727015819872,0.1649065816126561,Some,Some,25506.4903410911,0.0,,0.0
17793,9.575,864.57483,864.57491,0.09253102200871534,C48H79O10P,CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCC=CCC=CCC=CCC=CCC,[M+NH4]+,BMP 20:4_22:4,"BMP 20:4(8,11,14,17)_22:4(7,10,13,16)",0.4241714285714287,0.6130514285714038,0.0,0.10372228571428325,Some,None,0.0,0.0,90430.0,169900.0
17803,9.5843,864.57495,864.57491,0.04626551087286318,C48H79O10P,CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCC=CCC=CCC=CCC=CCC,[M+NH4]+,BMP 20:4_22:4,"BMP 20:4(8,11,14,17)_22:4(7,10,13,16)",0.5010750000000006,0.6514112499999953,0.0,0.1152486249999996,Some,None,0.0,38740.767686050276,0.0,0.0
17803,9.5843,864.57495,864.57491,0.04626551087286318,C48H79O10P,CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCC=CCC=CCC=CCC=CCCCCC,[M+NH4]+,BMP 20:4_22:4,"BMP 20:4(5,8,11,14)_22:4(7,10,13,16)",0.4532285714285713,0.6078428571428763,0.0,0.10610714285714476,Some,None,0.0,51639.23231394973,0.0,0.0
18169,9.8426,814.55857,814.55926,0.8470838573036663,C44H77O10P,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCCC=CCCCCCCCC,[M+NH4]+,BMP 18:1_20:4,"BMP 18:1(9)_20:4(8,11,14,17)",0.5800499999999991,0.9450437500000248,0.0,0.1525093750000024,Some,None,0.0,266725.69842549186,352448.0050605312,208089.78408535456
18169,9.8426,814.55857,814.55926,0.8470838573036663,C44H77O10P,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCCCCC=CCCCCCC,[M+NH4]+,BMP 18:1_20:4,"BMP 18:1(11)_20:4(8,11,14,17)",0.5285999999999994,0.8666130000000181,0.0,0.13952130000000176,All,None,0.0,163907.29927007304,15055.832733292506,228706.8718501913
18169,9.8426,814.55857,814.55926,0.8470838573036663,C44H77O10P,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCC=CCCCCCCCCCCC,[M+NH4]+,BMP 18:1_20:4,"BMP 18:1(6)_20:4(5,8,11,14)",0.5485600000000005,0.8399500000000216,0.0,0.13885100000000222,Some,None,0.0,176267.00230443518,240296.16220617626,225103.3440644541
18349,9.927,838.55909,838.55926,0.2027286658614188,C46H77O10P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCCC=CCCCCCCCC,[M+NH4]+,BMP 18:1_22:6,"BMP 18:1(9)_22:6(4,7,10,13,16,19)",0.6299000000000001,0.7793074999999968,0.0,0.1409207499999997,Some,None,68449.21223354957,0.0,0.0,0.0
18349,9.927,838.55909,838.55926,0.2027286658614188,C46H77O10P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCC=CCCCCCCCCCCC,[M+NH4]+,BMP 18:1_22:6,"BMP 18:1(6)_22:6(4,7,10,13,16,19)",0.6381499999999999,0.7076733333333228,0.0,0.13458233333333228,Some,None,134576.61778335058,0.0,0.0,0.0
