feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_ion_detection_level,fragments_spectrum_detection_level,datafile:NEG_liver1_0.mzML:area,datafile:NEG_liver1_1.mzML:area,datafile:NEG_liver1_2.mzML:area,datafile:NEG_liver1_3.mzML:area
31066,14.9481,790.53898,790.53923,0.31623984041531356,C45H78NO8P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,[M-H]-,PE 18:0_22:6,"PE 18:0_22:6(4,7,10,13,16,19)",0.8881999999999998,0.8106440000000589,0.32083384545126303,0.4265514763610163,All,Some,0.0,23640000.0,0.0,
31106,14.9554,759.46478,759.55454,118.17452898109944,C42H81O9P,CCCCCCCCCCCCCCCCCC(=O)OC(COCCCCCCCCC=CCC=CCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-18:2_18:0,"PG O-18:2(9,12)_18:0",0.9263333333333333,0.6047399999999925,0.2183817610451111,0.32781274216942147,All,Some,0.0,633616.7188707644,,0.0
31106,14.9554,759.46478,759.55454,118.17452898109944,C42H81O9P,CCCCCCCCCCCCCCCCCC(=O)OC(COCCCCCC=CCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-18:2_18:0,"PG O-18:2(6,9)_18:0",0.964733333333335,0.8905833333333627,0.0,0.18553166666666976,All,None,808000.0,103683.28112923565,,801100.0
31270,14.9725,792.54599,792.55488,11.216888854516801,C45H80NO8P,CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCCN,[M-H]-,PE 18:1_22:4,"PE 18:1(9)_22:4(7,10,13,16)",0.3994571428571427,0.7768599999999911,0.39870640978401184,0.4365968421129228,Some,Some,0.0,0.0,0.0,1445831.37413863
31270,14.9725,792.54599,792.55488,11.216888854516801,C45H80NO8P,CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)OC(COC(=O)CCCCCCCCCC=CCCCCCC)COP(=O)(O)OCCN,[M-H]-,PE 18:1_22:4,"PE 18:1(11)_22:4(7,10,13,16)",0.5415555555555555,0.8043711111111078,0.3572203302129856,0.42036893083705484,All,Some,0.0,0.0,0.0,544441.4268342117
31270,14.9725,792.54599,792.55488,11.216888854516801,C45H80NO8P,CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COP(=O)(O)OCCN,[M-H]-,PE 18:1_22:4,"PE 18:1(6)_22:4(7,10,13,16)",0.589457142857143,0.784661428571407,0.2570822671459615,0.34307767085962426,Some,Some,0.0,0.0,0.0,1522727.1990271586
31321,14.9745,790.53924,790.53923,0.012649593587850698,C45H78NO8P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OCCN,[M-H]-,PE 18:0_22:6,"PE 18:0_22:6(4,7,10,13,16,19)",0.8490545454545455,0.8271899999999939,0.2823440836181824,0.3934997214399999,All,Some,0.0,0.0,10350000.0,0.0
31570,15.0338,845.5669,845.6641,114.93925306741743,C48H95O9P,CCCCCCCCCCCCCCCCCC(=O)OC(COCCCCCCCCCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-24:1_18:0,PG O-24:1(15)_18:0,0.7605000000000004,0.5618599999999674,0.36958635792185895,0.427905086337484,All,Some,,,226700.0,0.0
32294,15.1168,829.49976,829.53889,47.17078424135137,C48H79O9P,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(COCCCCCCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-22:5_20:4,"PG O-22:5(7,10,13,16,19)_20:4(5,8,11,14)",0.5086400000000001,0.7219709999999964,0.6123122425940911,0.6129108940752725,Some,Some,232936.86854219533,108631.54424418078,90910.83750238267,178777.404024564
32294,15.1168,829.49976,829.53889,47.17078424135137,C48H79O9P,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OC(COCCCC=CCC=CCC=CCC=CCC=CCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-22:5_20:4,"PG O-22:5(4,7,10,13,16)_20:4(8,11,14,17)",0.5079818181818184,0.7484372727272857,0.5461347071903919,0.5625496748432239,Some,Some,69205.61216256018,36803.15369984603,22744.940924272018,61104.803859367705
