feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_ion_detection_level,fragments_spectrum_detection_level,fragment_mz_delta,fragment_fatty_acid_pos,fragment_types,datafile:NEG_liver1_0.mzML:area,datafile:NEG_liver1_1.mzML:area,datafile:NEG_liver1_2.mzML:area,datafile:NEG_liver1_3.mzML:area
10864,10.4669,689.4029,689.30621,140.27147673612365,C44H79O10P,CCCCCC=CCC=CCC=CCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_20:3,"PG 18:1(9)_20:3(8,11,14)",0.9893999999999998,0.9039499999998952,0.0,0.1893349999999895,Some,Some,-108.2276,6,criegee,0.0,2.7630397236614854,0.0,0.0
10492,10.3665,703.33091,703.28961,58.724029777687676,C44H79O10P,CCCCCC=CCC=CCC=CCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_20:3,"PG 18:1(9)_20:3(8,11,14)",0.7885999999999989,0.9593399999999974,0.03917412084763812,0.20613329667811012,Some,Some,-94.24419999999999,9,aldehyde,1378.964941569282,591.0189982728843,1213.963963963964,1847.6505139500734
10969,10.5179,705.2896,705.30561,22.69937991851667,C44H79O10P,CCCCCC=CCC=CCC=CCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_20:3,"PG 18:1(9)_20:3(8,11,14)",0.9086000000000034,0.9833499999999731,0.0,0.18919499999999767,Some,Some,-92.2282,9,criegee,14.280467445742905,0.0,0.0,0.0
10947,10.5146,729.34674,729.37121,33.54944596738995,C44H79O10P,CCCCCC=CCC=CCC=CCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_20:3,"PG 18:1(9)_20:3(8,11,14)",0.9152000000000022,0.9748899999999594,0.0,0.18900899999999615,Some,Some,-68.1626,12,aldehyde,0.0,113.95509499136442,0.0,0.0
10752,10.4077,745.37597,745.37061,7.1910535887590665,C44H79O10P,CCCCCC=CCC=CCC=CCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:1_20:3,"PG 18:1(9)_20:3(8,11,14)",0.8709999999999987,0.9952799999999797,0.0,0.18662799999999785,Some,Some,-52.163199999999996,12,criegee,194.8247078464107,0.0,0.0,0.0
11201,10.5672,833.51849,833.57019,62.02237150537081,C48H83O9P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COCCCCCCCCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-24:5_18:2,"PG O-24:5(9,12,15,18,21)_18:2(6,9)",0.8027111111111114,0.9402266666667174,0.31673185652638164,0.4276792629988882,Some,Some,0.0,0,substrate,55458.98044941496,82108.13839473313,54436.879763174074,87000.96284215283
11201,10.5672,833.51849,833.57019,62.02237150537081,C48H83O9P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COCCCCCCCCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-24:5_18:2,"PG O-24:5(9,12,15,18,21)_18:2(9,12)",0.81752,0.9296960000000467,0.2850586708737435,0.4027685366989995,Some,Some,0.0,0,substrate,809770.5097752926,848523.4282610171,844484.1215116167,725334.6564225501
11201,10.5672,833.51849,833.57019,62.02237150537081,C48H83O9P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COCCCCCC=CCC=CCC=CCC=CCC=CCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-24:5_18:2,"PG O-24:5(6,9,12,15,18)_18:2(9,12)",0.7767777777777778,0.7596322222222701,0.12276239652379742,0.25185091721904274,Some,Some,0.0,0,substrate,809770.5097752926,824368.4333442498,870078.998725209,968664.3807352968
11698,10.9295,605.2729,605.1475900000002,207.07345128797328,C48H83O9P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COCCCCCC=CCC=CCC=CCC=CCC=CCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-24:5_18:2,"PG O-24:5(6,9,12,15,18)_18:2(9,12)",0.27539999999999765,0.822990000000118,0.0,0.10983900000001157,Some,Some,-228.42259999999987,6,aldehyde,0.16728358208955224,0.0,0.0,0.0
10230,10.2648,620.32009,621.1469900000002,1331.246892140839,C48H83O9P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COCCCCCC=CCC=CCC=CCC=CCC=CCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-24:5_18:2,"PG O-24:5(6,9,12,15,18)_18:2(9,12)",0.3951999999999991,0.22479999999984557,0.6732516219362012,0.6006012975489455,Some,Some,-212.42319999999987,6,criegee,21.665671641791047,19.834757834757834,0.0,0.0
11125,10.5465,661.24743,661.2119900000001,53.598544091555944,C48H83O9P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COCCCCCC=CCC=CCC=CCC=CCC=CCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-24:5_18:2,"PG O-24:5(6,9,12,15,18)_18:2(9,12)",0.9586000000000006,0.912860000000137,0.0,0.18714600000001375,Some,Some,-172.35819999999993,9,criegee,0.0,1.5293447293447293,0.0,0.0
10308,10.3108,684.46803,685.27759,1181.36068042154,C48H83O9P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COCCCCCC=CCC=CCC=CCC=CCC=CCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-24:5_18:2,"PG O-24:5(6,9,12,15,18)_18:2(9,12)",0.4872000000000014,0.2421399999999494,0.43160994677797543,0.41822195742237545,Some,Some,-148.29259999999996,12,aldehyde,0.0,0.4838746438746439,0.0,0.0
11162,10.5501,701.27803,701.2769900000001,1.483008874817585,C48H83O9P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COCCCCCC=CCC=CCC=CCC=CCC=CCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-24:5_18:2,"PG O-24:5(6,9,12,15,18)_18:2(9,12)",0.9658000000000015,0.9472600000001421,0.0,0.19130600000001438,Some,Some,-132.29319999999996,12,criegee,0.6298507462686567,0.0,0.0,0.0
11195,10.5656,725.38816,725.34259,62.825484989097205,C48H83O9P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COCCCCCC=CCC=CCC=CCC=CCC=CCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-24:5_18:2,"PG O-24:5(6,9,12,15,18)_18:2(9,12)",0.9968000000000004,0.9027300000000196,0.0,0.189953000000002,Some,Some,-108.2276,15,aldehyde,0.0,0.0,6.110797060486151,0.0
11196,10.5656,741.38343,741.34199,55.8986278383691,C48H83O9P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COCCCCCC=CCC=CCC=CCC=CCC=CCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-24:5_18:2,"PG O-24:5(6,9,12,15,18)_18:2(9,12)",0.9968000000000004,0.9068600000000515,0.0,0.1903660000000052,Some,Some,-92.2282,15,criegee,0.0,0.0,1.2091577162238554,0.0
11197,10.5656,765.41932,765.40759,15.325168123748519,C48H83O9P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COCCCCCC=CCC=CCC=CCC=CCC=CCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-24:5_18:2,"PG O-24:5(6,9,12,15,18)_18:2(9,12)",0.9968000000000004,0.9365700000000743,0.0,0.19333700000000748,Some,Some,-68.1626,18,aldehyde,0.0,0.0,9.027699265121537,0.0
