feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_level,fragments_ms2_spectrum_level,datafile:neg_hela_HG1.mzML:area,datafile:neg_hela_HG2.mzML:area,datafile:neg_hela_HG3.mzML:area,datafile:neg_hela_HG4.mzML:area,datafile:neg_hela_HG5.mzML:area,datafile:neg_hela_HG6.mzML:area,datafile:neg_hela_LG1.mzML:area,datafile:neg_hela_LG2.mzML:area,datafile:neg_hela_LG3.mzML:area,datafile:neg_hela_LG4.mzML:area,datafile:neg_hela_LG5.mzML:area,datafile:neg_hela_LG6.mzML:area,datafile:neg_hela_S1.mzML:area,datafile:neg_hela_S2.mzML:area,datafile:neg_hela_S3.mzML:area,datafile:neg_hela_S4.mzML:area,datafile:neg_hela_S5.mzML:area,datafile:neg_hela_S6.mzML:area
N2590,5.232,805.48735,805.48725,0.124148458,C41H75O13P,CCCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCC=CCCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 14:1_18:1,PI 14:1(5)_18:1(9),0.09,0.90257,0.026620792,0.120553634,All,Some,,4667.691362,306.4301867,3322.688716,1226.907982,0,,8766.666667,12400,13433.33333,12566.66667,,6259.595255,6282.473002,6332.461404,4966.741032,7626.774194,7609.504639
N2590,5.232,805.48735,805.48725,0.124148458,C41H75O13P,CCCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 14:1_18:1,PI 14:1(9)_18:1(9),0.094,0.94339,0.013310396,0.114387317,Some,Some,,5264.617276,335.1396267,3554.622568,1166.546009,0,,8766.666667,12400,13433.33333,12566.66667,,6980.809491,6365.475162,6414.566344,5236.869606,7708.264739,8480.990721
N2592,5.247,717.4704,717.47121,1.128965161,C38H71O10P,CCCCCCCCC=CCCCCCC(=O)OC(COC(=O)CCCCCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 16:1_16:1,PG 16:1(7)_16:1(7),0.704,0.90196,0,0.160596,Some,None,,,0,,2450,2840,,,,,,,0,0,,,0,
N2592,5.247,717.4704,717.47121,1.128965161,C38H71O10P,CCCCCCCCC=CCCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 16:1_16:1,PG 16:1(6)_16:1(7),0.545333333,0.88346,0,0.142879333,Some,None,,,0,,2450,2840,,,,,,,0,0,,,0,
N2592,5.247,717.4704,717.47121,1.128965161,C38H71O10P,CCCCCCCCCC=CCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 16:1_16:1,PG 16:1(6)_16:1(6),0.466,0.87421,0,0.134021,All,None,,,0,,0,0,,,,,,,0,0,,,0,
N2601,5.264,855.50336,855.5029,0.53769543,C45H77O13P,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OC(COC(=O)CCCCCC=CCCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 16:1_20:4,"PI 16:1(7)_20:4(8,11,14,17)",0.418285714,0.585625714,0.178321334,0.24304821,Some,Some,0,3550.451377,1229.051773,1779.282869,705.8823529,0,0,3101.580135,2865.534805,4119.679684,4816.480397,5221.744281,6046.038578,4552.350326,2853.005549,3335.65521,4492.927669,5313.577912
N2601,5.264,855.50336,855.5029,0.53769543,C45H77O13P,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 16:1_20:4,"PI 16:1(6)_20:4(8,11,14,17)",0.362285714,0.536155714,0.139387923,0.201354481,Some,Some,0,22153.18249,13886.32527,16258.96414,10188.23529,11339.58838,0,6000,5349.983022,7644.471259,5880.787653,9002.077827,24768.81875,25410.06337,22605.98027,19447.91399,23241.74512,26487.6702
N2601,5.264,855.50336,855.5029,0.53769543,C45H77O13P,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCCC=CCCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 16:1_20:4,"PI 16:1(7)_20:4(5,8,11,14)",0.48125,0.587715,0.115768399,0.199511219,Some,Some,0,6796.36613,4784.62296,7161.752988,4705.882353,5160.411622,0,2898.419865,1644.482173,2735.849057,2302.73195,3176.177891,11585.14267,8237.586305,13841.01418,7116.430803,11165.32721,8598.751891
N2625,5.302,691.45514,691.45556,0.607414307,C36H69O10P,CCCCCCCCCC=CCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 14:0_16:1,PG 14:0_16:1(6),0.818,0.89028,0,0.170828,Some,None,,,0,,,,,,,,,,0,0,4665.631929,0,0,0
N2625,5.302,691.45514,691.45556,0.607414307,C36H69O10P,CCCCCCCCC=CCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 14:0_16:1,PG 14:0_16:1(7),0.814,0.49975,0,0.131375,All,None,,,0,,,,,,,,,,11300,13400,12034.36807,0,12006.85062,11900
