id,rt,mz,compound_name,adduct,cosine_score,mol_formula,smiles,datafile:pos_hela_LG5_O3.mzML:area,datafile:pos_hela_LG2_O3.mzML:area,datafile:pos_hela_LG3_O3.mzML:area,datafile:pos_hela_LG1_O3.mzML:area,datafile:pos_hela_LG6_O3.mzML:area,datafile:pos_hela_S2_O3.mzML:area,datafile:pos_hela_HG2_O3.mzML:area,datafile:pos_hela_LG4_O3.mzML:area,datafile:pos_hela_HG1_O3.mzML:area,datafile:pos_hela_HG4_O3.mzML:area,datafile:pos_hela_HG5_O3.mzML:area,datafile:pos_hela_HG3_O3.mzML:area,datafile:pos_hela_S1_O3.mzML:area,datafile:pos_hela_S3_O3.mzML:area,datafile:pos_hela_HG6_O3.mzML:area,datafile:pos_hela_S4_O3.mzML:area,datafile:pos_hela_S6_O3.mzML:area,datafile:pos_hela_S5_O3.mzML:area,chain_shorthand,db_shorthand,lipid_name,name,score
16648,19.228,860.76908,TG 16:1_17:1_18:1,[M+NH4]+,0.99,C54H98O6,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(COC(=O)CCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCC\C=C/CCCCCCC,240400.0,0.0,516300.0,171400.0,313100.0,162300.0,462700.0,141900.0,376200.0,518700.0,193900.0,0.0,0.0,0.0,0.0,141400.0,300800.0,138300.0,TG(16:1_17:1_18:1),TG(16:1(9)_17:1(9)_18:1(9)),TG(16:1(9)_17:1(9)_18:1(9)),TG(16:1(9)_17:1(9)_18:1(9)),0.8501428571428578
16703,19.279,872.76914,TG 16:0_18:2_18:2,[M+NH4]+,1.0,C55H98O6,CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,1534000.0,1626000.0,1558000.0,1270000.0,1579000.0,1158000.0,1393000.0,1531000.0,1589000.0,1698000.0,1922000.0,1318000.0,1199000.0,1100000.0,3067000.0,1108000.0,970300.0,1127000.0,TG(16:0_18:2_18:2),"TG(16:0_18:2(9,12)_18:2(9,12))","TG(16:0_18:2(9,12)_18:2(9,12))","TG(16:0_18:2(9,12)_18:2(9,12))",1.0940000000000005
16708,19.282,874.77668,TG 16:1_18:1_18:1,[M+NH4]+,0.97,C55H100O6,CCCCCCCC\C=C/CCCCCCCC(=O)OCC(COC(=O)CCCCCCC\C=C/CCCCCC)OC(=O)CCCCCCC\C=C/CCCCCCCC,262600.0,0.0,296700.0,244200.0,284100.0,230400.0,0.0,0.0,254000.0,331100.0,298400.0,236800.0,208100.0,0.0,526900.0,172400.0,0.0,214900.0,TG(16:1_18:1_18:1),TG(16:1(9)_18:1(9)_18:1(9)),TG(16:1(9)_18:1(9)_18:1(9)),TG(16:1(9)_18:1(9)_18:1(9)),0.7340000000000007
16716,19.292,886.78467,TG 17:1_18:1_18:2,[M+NH4]+,1.0,C56H100O6,CCCCCCCC\C=C/CCCCCCCC(=O)OC(COC(=O)CCCCCCC\C=C/CCCCCCC)COC(=O)CCCCCCC\C=C/C\C=C/CCCCC,206100.0,221000.0,125800.0,76410.0,186000.0,92090.0,197300.0,117100.0,166700.0,162900.0,108700.0,105500.0,77090.0,133100.0,320200.0,95060.0,27070.0,90080.0,TG(17:1_18:1_18:2),"TG(17:1(9)_18:1(9)_18:2(9,12))","TG(17:1(9)_18:1(9)_18:2(9,12))","TG(17:1(9)_18:1(9)_18:2(9,12))",1.0320555555555555
16728,19.302,794.72274,TG 14:0_16:0_16:1,[M+NH4]+,0.99,C49H92O6,CCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCC)COC(=O)CCCCCCC\C=C/CCCCCC,0.0,14180.0,0.0,0.0,0.0,0.0,0.0,15150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TG(14:0_16:0_16:1),TG(14:0_16:0_16:1(9)),TG(14:0_16:0_16:1(9)),TG(14:0_16:0_16:1(9)),0.9536666666666663
16743,19.316,974.81605,TG 16:0_22:4_22:5,[M+NH4]+,0.81,C63H104O6,CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,0.0,0.0,14570.0,0.0,0.0,30140.0,49510.0,16150.0,45250.0,71470.0,87060.0,39300.0,42130.0,39370.0,123400.0,42890.0,27310.0,30510.0,TG(16:0_22:4_22:5),"TG(16:0_22:4(7,10,13,16)_22:5(7,10,13,16,19))","TG(16:0_22:4(7,10,13,16)_22:5(7,10,13,16,19))","TG(16:0_22:4(7,10,13,16)_22:5(7,10,13,16,19))",0.7554473684210512
16767,19.36,884.76996,TG 15:0_16:0_22:5,[M+NH4]+,1.0,C56H98O6,CCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCC)COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,7899.0,0.0,0.0,0.0,0.0,22130.0,35900.0,0.0,22420.0,62820.0,71930.0,50350.0,51540.0,21390.0,273900.0,47310.0,23540.0,55930.0,TG(15:0_16:0_22:5),"TG(15:0_16:0_22:5(7,10,13,16,19))","TG(15:0_16:0_22:5(7,10,13,16,19))","TG(15:0_16:0_22:5(7,10,13,16,19))",1.0198636363636355
16791,19.381,910.78567,TG 16:0_17:1_22:5,[M+NH4]+,0.95,C58H100O6,CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCC\C=C/CCCCCCC,0.0,33060.0,0.0,20700.0,25090.0,124900.0,155900.0,19240.0,180000.0,203000.0,205900.0,103000.0,132700.0,106100.0,392300.0,114900.0,85950.0,105100.0,TG(16:0_17:1_22:5),"TG(16:0_17:1(9)_22:5(7,10,13,16,19))","TG(16:0_17:1(9)_22:5(7,10,13,16,19))","TG(16:0_17:1(9)_22:5(7,10,13,16,19))",1.0337692307692312
16795,19.383,896.76998,TG 16:0_18:1_20:5,[M+NH4]+,0.89,C57H98O6,CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCC\C=C/CCCCCCCC,47570.0,63560.0,52120.0,37880.0,43280.0,367400.0,377600.0,49130.0,475200.0,558300.0,613500.0,371300.0,404000.0,347400.0,950100.0,334200.0,284200.0,345800.0,TG(16:0_18:1_20:5),"TG(16:0_18:1(9)_20:5(5,8,11,14,17))","TG(16:0_18:1(9)_20:5(5,8,11,14,17))","TG(16:0_18:1(9)_20:5(5,8,11,14,17))",1.00676923076923
16808,19.388,898.78401,TG 16:0_16:0_22:5,[M+NH4]+,0.99,C57H100O6,CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)OC(=O)CCCCCCCCCCCCCCC,541000.0,686800.0,535800.0,351800.0,521300.0,367100.0,362200.0,368800.0,458100.0,594600.0,560200.0,404400.0,311100.0,0.0,0.0,263900.0,297800.0,345100.0,TG(16:0_16:0_22:5),"TG(16:0_16:0_22:5(7,10,13,16,19))","TG(16:0_16:0_22:5(7,10,13,16,19))","TG(16:0_16:0_22:5(7,10,13,16,19))",0.9258181818181829
